categoria,subcategoria,super,id_catalogo,nombre_cat,nombre_super,precio,mediana_grupo,desv_sigma
Pescadería,Pescado,Carrefour,CAT-6392,Pienso De Salmon Para Perro Brekkies 14 Kg,Pienso De Salmon Para Perro Brekkies 14 Kg,37.0,7.05,3.5
Cuidado personal e Higiene,Cuidado del cabello,Carrefour,CAT-8190,Canastilla Mustela Colonia 200 Ml Gel Champu 200 Ml Leche Corporal 300 Ml Crema Balsamo 50 Ml Y Toallitas 70 Ud,Canastilla Mustela Colonia 200 Ml Gel Champu 200 Ml Leche Corporal 300 Ml Crema Balsamo 50 Ml Y Toallitas 70 Ud,30.7,6.95,3.5
Cuidado personal e Higiene,Higiene bucal,Carrefour,CAT-5780,Colutorio Control Diario Periodontal Y Periimplantorio Perio Aid 1000 Ml,Colutorio Control Diario Periodontal Y Periimplantorio Perio Aid 1000 Ml,18.49,5.75,3.5
Cuidado personal e Higiene,Higiene íntima femenina,Mercadona,CAT-6293,Compresas Para Incontinencia De Orina Mini Discreet Ausonia 24 Ud,"Aceite de oliva 0,4º Hacendado",19.75,3.25,3.5
Cuidado personal e Higiene,Higiene íntima femenina,Mercadona,CAT-6292,Compresas Para Incontinencia De Orina Normal Discreet Ausonia 14 Ud,"Aceite de oliva 0,4º Hacendado",19.75,3.25,3.5
Cuidado personal e Higiene,Higiene íntima femenina,Mercadona,CAT-9948,Compresas Para Incontinencia De Orina Proteccion Completa Normal Discreet Ausonia 24 Ud,"Aceite de oliva 0,4º Hacendado",19.75,3.25,3.5
Cuidado personal e Higiene,Higiene íntima femenina,Mercadona,CAT-9949,Compresas Para Incontinencia De Orina Proteccion Completa Extra Discreet Ausonia 20 Ud,"Aceite de oliva 0,4º Hacendado",19.75,3.25,3.5
Cuidado personal e Higiene,Higiene íntima femenina,Mercadona,CAT-4958,Compresas Para Incontinencia De Orina Maxi Absodys Carrefour 16 Ud,"Aceite de oliva 0,4º Hacendado",19.75,3.25,3.5
Cuidado personal e Higiene,Higiene íntima femenina,Mercadona,CAT-5491,Compresas Para Incontinencia De Orina Extra Seguridad Maxi Discreet Ausonia 16 Ud,"Aceite de oliva 0,4º Hacendado",19.75,3.25,3.5
Cuidado personal e Higiene,Higiene íntima femenina,Mercadona,CAT-6661,Compresas Para Incontinencia De Orina Normal Absodys Discret Carrefour Soft 24 Ud,"Aceite de oliva 0,4º Hacendado",19.75,3.25,3.5
Hogar,Utensilios y consumibles de limpieza,Carrefour,CAT-4268,Limpia Salpicaderos Krafft  520Ml  Bayeta,Limpia Salpicaderos Krafft  520Ml  Bayeta,7.99,2.59,3.5
Bazar y Varios,Hogar y decoración,Carrefour,CAT-6505,Papel Higienico 3 Capas Seda Foxy 18 Rollos,Papel Higienico 3 Capas Seda Foxy 30 Rollos,22.4,4.04,3.5
Despensa,Azúcares y edulcorantes,Carrefour,CAT-6178,Papilla Infantil Belvit 8 Cereales Desde 5 Meses Sin Azucar Anadido 1000 G,Papilla Infantil Belvit 8 Cereales Desde 5 Meses Sin Azucar Anadido 1000 G,18.15,2.79,3.5
Pescadería,Moluscos,Mercadona,CAT-4939,Navajas Crudas Procedente De Pesca Sostenible Carrefour 500 G,"Aceite de oliva 0,4º Hacendado",19.75,2.5,3.5
Mascotas,Comida para otros animales,Carrefour,CAT-4906,Pienso De Buey Y Trigo Para Gatos Esterilizados Purina One 28 Kg,Pienso De Buey Y Trigo Para Gatos Esterilizados Purina One 28 Kg,18.45,3.79,3.5
Despensa,"Arroz, pasta y quinoa",DIA,CAT-9000,Arroz Bomba Categoria Extra La Fallera 1 Kg,Arroz bomba La fallera 1 Kg,6.05,1.57,3.5
Bebidas,Vino,Carrefour,CAT-4182,Vino Tinto Reserva Tempranillo Marques De Riscal Doca Rioja 75 Cl,Vino Tinto Reserva Tempranillo Marques De Riscal Doca Rioja 75 Cl,20.6,5.4,3.4
Sin categoría,Otros,Carrefour,CAT-5407,Crema Reafirmante Post Parto Trofolastin 200 Ml,Crema Reafirmante Post Parto Trofolastin 200 Ml,29.4,4.35,3.4
Bebidas,Cerveza,Carrefour,CAT-9120,Cerveza San Miguel Especial Lager Pack De 28 Latas De 33 Cl,Cerveza San Miguel Especial Lager Pack De 28 Latas De 33 Cl,19.89,2.17,3.4
Desayuno y Snack,Café y cacaos,Mercadona,CAT-9763,Canas Rellenas De Crema Al Cacao Carrefour Classic 380 G,"Aceite de oliva 0,4º Hacendado",19.75,3.8,3.4
Desayuno y Snack,Café y cacaos,Mercadona,CAT-4426,Petit Nestle Nesquik Sin Gluten Pack De 6 Unidades De 60 G,"Aceite de oliva 0,4º Hacendado",19.75,3.8,3.4
Desayuno y Snack,Café y cacaos,Mercadona,CAT-7778,Sandwich De Vainilla Y Galleta Al Cacao Oreo 4 Ud,"Aceite de oliva 0,4º Hacendado",19.75,3.8,3.4
Desayuno y Snack,Café y cacaos,Mercadona,CAT-9355,Cafe Latte De Vainilla Kaiku Sin Gluten 230 Ml,"Aceite de oliva 0,4º Hacendado",19.75,3.8,3.4
Desayuno y Snack,Café y cacaos,Mercadona,CAT-4584,Croissants Rellenos De Crema De Cacao Carrefour Classic 360 G,"Aceite de oliva 0,4º Hacendado",19.75,3.8,3.4
Desayuno y Snack,Café y cacaos,Mercadona,CAT-4206,Pepitos Con Crema De Cacao Carrefour Envase 4 Ud,"Aceite de oliva 0,4º Hacendado",19.75,3.8,3.4
Bebidas,Licores y destilados,Mercadona,CAT-7104,Whisky Westerly 70 Cl,Whisky escocés Black Label Johnnie Walker,28.9,6.35,3.4
Bebidas,Licores y destilados,Mercadona,CAT-1060,Whisky escocés Black Label Johnnie Walker,Whisky escocés Black Label Johnnie Walker,28.9,6.35,3.4
Cuidado personal e Higiene,Desodorantes,Carrefour,CAT-8172,Desodorante En Spray Para Los Pies Y Calzado Devor Olor 150 Ml,Desodorante En Spray Para Los Pies Y Calzado Devor Olor 150 Ml,8.89,2.95,3.4
Congelados,Helados y postres congelados,Mercadona,CAT-0659,Tarta infantil Tesia and Friends congelada,Tarta infantil Tesia and Friends Hacendado congelada,13.8,2.3,3.4
Congelados,Helados y postres congelados,Mercadona,CAT-1873,Tarta infantil balón de fútbol congelada,Tarta infantil balón de fútbol Hacendado congelada,13.8,2.3,3.4
Mascotas,Comida para otros animales,Carrefour,CAT-8026,Pienso Esterilizado De Buey Para Gato Adulto Ultima 25 Kg,Pienso Esterilizado De Buey Para Gato Adulto Ultima 25 Kg,17.89,3.79,3.4
Cuidado personal e Higiene,Parafarmacia,Carrefour,CAT-9449,Peptidos De Colageno Vital Proteins 567 G,Peptidos De Colageno Vital Proteins 567 G,42.9,11.15,3.4
Sin categoría,Otros,Carrefour,CAT-7740,Crema Anti Estrias Trofolastin 250 Ml,Crema Anti Estrias Trofolastin 250 Ml,28.7,4.35,3.3
Bebidas,Vino,Mercadona,CAT-8016,Vino Tinto Crianza Tempranillo Altos De Tamaron Do Ribera Del Duero 75 Cl,"Aceite de oliva 0,4º Hacendado",19.75,2.85,3.3
Bebidas,Vino,Mercadona,CAT-4249,Vino Blanco Moscatel De Alejandria Ecologico Vina Esmeralda Do Penedes 75 Cl,"Aceite de oliva 0,4º Hacendado",19.75,2.85,3.3
Bebidas,Vino,Mercadona,CAT-8396,Vino Tinto Crianza Tempranillo Altos De Penalen Doca Rioja 75 Cl,"Aceite de oliva 0,4º Hacendado",19.75,2.85,3.3
Bebidas,Vino,Mercadona,CAT-6944,Vino Moscatel Cortijo De Ceret Do Valencia 75 Cl,"Aceite de oliva 0,4º Hacendado",19.75,2.85,3.3
Bebidas,Vino,Mercadona,CAT-7344,Vino Fino Cortijo De Ceret Dojerez Xeres Sherry 75 Cl,"Aceite de oliva 0,4º Hacendado",19.75,2.85,3.3
Bebidas,Vino,Mercadona,CAT-9829,Vino Tinto Habla De La Tierra Vt Extremadura 75 Cl,"Aceite de oliva 0,4º Hacendado",19.75,2.85,3.3
Bebidas,Vino,Mercadona,CAT-9848,Vino Blanco Verdejo Marques De Caceres Do Rueda 75 Cl,"Aceite de oliva 0,4º Hacendado",19.75,2.85,3.3
Bebidas,Vino,Mercadona,CAT-4772,Vino Tinto Roble Tempranillo Enrique I Do Ribera De Duero 75 Cl,"Aceite de oliva 0,4º Hacendado",19.75,2.85,3.3
Bebidas,Vino,Mercadona,CAT-6843,Vino Tinto Crianza Marques De Valido Do Ca Rioja 75 Cl,"Aceite de oliva 0,4º Hacendado",19.75,2.85,3.3
Bebidas,Vino,Mercadona,CAT-7144,Vino Tinto De Francia Ac Bordeaux Grand Moment 75 Cl,"Aceite de oliva 0,4º Hacendado",19.75,2.85,3.3
Bebidas,Vino,Mercadona,CAT-8747,Estuche De 2 Botellas De Vino Tinto Roble Protos Do Ribera Del Duero 75 Cl,"Aceite de oliva 0,4º Hacendado",19.75,2.85,3.3
Bebidas,Vino,Mercadona,CAT-7870,Vino Tinto Roble Mayor De Castilla Do Ribera Del Duero 75 Cl,"Aceite de oliva 0,4º Hacendado",19.75,2.85,3.3
Bebidas,Vino,Mercadona,CAT-5098,Vino Sweet Semi Dulce Blanco Alma De Valdeguerra 75 Cl,"Aceite de oliva 0,4º Hacendado",19.75,2.85,3.3
Bebidas,Vino,Mercadona,CAT-5126,Vino Tinto Tinta De Toro Matsu El Picaro Do Toro 75 Cl,"Aceite de oliva 0,4º Hacendado",19.75,2.85,3.3
Bebidas,Vino,Mercadona,CAT-6197,Caja De 6 Botellas De Vino Tinto Crianza Otonal Do Ca Rioja 75 Cl,"Aceite de oliva 0,4º Hacendado",19.75,2.85,3.3
Bebidas,Vino,Mercadona,CAT-5813,Vino De Verano Con Limon Carrefour Sensation Botella 15 L,"Aceite de oliva 0,4º Hacendado",19.75,2.85,3.3
Panadería y Pastelería,Pan fresco,Mercadona,CAT-8930,Tortillas De Trigo Y Maiz Carrefour Sensation Sin Aceite De Palma 10 Ud,"Aceite de oliva 0,4º Hacendado",19.75,1.5,3.3
Panadería y Pastelería,Pan fresco,Mercadona,CAT-6335,Pan Payes 5 Cereales Con Semillas De Calabaza Rebanado 490 G,"Aceite de oliva 0,4º Hacendado",19.75,1.5,3.3
Panadería y Pastelería,Pan fresco,Mercadona,CAT-4430,Baguetinas Pan Maheso Pack De 4 Unidades De 125 G,"Aceite de oliva 0,4º Hacendado",19.75,1.5,3.3
Panadería y Pastelería,Pan fresco,Mercadona,CAT-4531,Tortillas De Trigo Para Fajitas Mexifoods 8 Ud,"Aceite de oliva 0,4º Hacendado",19.75,1.5,3.3
Panadería y Pastelería,Pan fresco,Mercadona,CAT-5628,Pan Burger Con Semillas De Sesamo Classic Carrefour 4 Ud,"Aceite de oliva 0,4º Hacendado",19.75,1.5,3.3
Panadería y Pastelería,Pan fresco,Mercadona,CAT-9541,Cocktail De Picos De Pan Integrales Carrefour El Mercado 500 G,"Aceite de oliva 0,4º Hacendado",19.75,1.5,3.3
Panadería y Pastelería,Pan fresco,Mercadona,CAT-5282,Pan De Molde Carrefour Classic Sin Gluten 350 G,"Aceite de oliva 0,4º Hacendado",19.75,1.5,3.3
Panadería y Pastelería,Pan fresco,Mercadona,CAT-5779,Baguette Precocida Carrefour Classic Pack De 2 Unidades De 150 G,"Aceite de oliva 0,4º Hacendado",19.75,1.5,3.3
Panadería y Pastelería,Pan fresco,Mercadona,CAT-6532,Pan De Sandwich Con Cereales Y Semillas Carrefour Sensation 310 G,"Aceite de oliva 0,4º Hacendado",19.75,1.5,3.3
Panadería y Pastelería,Pan fresco,Mercadona,CAT-6734,Pan De Chapata Tradicional Hecho Aqui Carrefour 380 G,"Aceite de oliva 0,4º Hacendado",19.75,1.5,3.3
Panadería y Pastelería,Pan fresco,Mercadona,CAT-7429,Media Hogaza De Pan Integral De Trigo Espelta Carrefour El Mercado 400 G,"Aceite de oliva 0,4º Hacendado",19.75,1.5,3.3
Panadería y Pastelería,Pan fresco,Mercadona,CAT-7430,Media Hogaza De Pan De Centeno Carrefour El Mercado 400 G,"Aceite de oliva 0,4º Hacendado",19.75,1.5,3.3
Cuidado personal e Higiene,Desodorantes,Mercadona,CAT-8663,Desodorante En Spray Marine Axe Pack De 2 Unidades De 150 Ml,"Aceite de oliva 0,4º Hacendado",19.75,1.98,3.3
Cuidado personal e Higiene,Desodorantes,Mercadona,CAT-7103,Snacks De Pollo Y Bacon Para Perro Pedigree Rodeo Duos 123 G,"Aceite de oliva 0,4º Hacendado",19.75,1.98,3.3
Cuidado personal e Higiene,Desodorantes,Mercadona,CAT-5777,Snacks De Buey Para Perro Pedigree Rodeo Duos 122 G,"Aceite de oliva 0,4º Hacendado",19.75,1.98,3.3
Cuidado personal e Higiene,Desodorantes,Mercadona,CAT-6786,Desodorante En Spray Natural 24H Heno De Pravia 200 Ml,"Aceite de oliva 0,4º Hacendado",19.75,1.98,3.3
Cuidado personal e Higiene,Desodorantes,Mercadona,CAT-8429,Desodorante En Spray Invisible Ice Fresh Rexona Men Pack De 2 Unidades De 200 Ml,"Aceite de oliva 0,4º Hacendado",19.75,1.98,3.3
Cuidado personal e Higiene,Desodorantes,Mercadona,CAT-8661,Desodorante En Spray Black Axe Pack De 2 Unidades De 150 Ml,"Aceite de oliva 0,4º Hacendado",19.75,1.98,3.3
Cuidado personal e Higiene,Desodorantes,Mercadona,CAT-6040,Desodorante Stick Original 0 Sales De Aluminio Tulipan Negro 100 Ml,"Aceite de oliva 0,4º Hacendado",19.75,1.98,3.3
Cuidado personal e Higiene,Desodorantes,Mercadona,CAT-5398,Desodorante En Spray Invisible Dry Dove Pack De 2 Unidades De 200 Ml,"Aceite de oliva 0,4º Hacendado",19.75,1.98,3.3
Cuidado personal e Higiene,Desodorantes,Mercadona,CAT-5439,Desodorante En Spray Aloe Vera Rexona Pack De 2 Unidades De 200 Ml,"Aceite de oliva 0,4º Hacendado",19.75,1.98,3.3
Cuidado personal e Higiene,Desodorantes,Mercadona,CAT-4697,Desodorante En Spray Invisible Rexona Men Pack De 2 Unidades De 200 Ml,"Aceite de oliva 0,4º Hacendado",19.75,1.98,3.3
Cuidado personal e Higiene,Desodorantes,Mercadona,CAT-8669,Desodorante En Spray Con Extracto De Algodon Soft Carrefour 200 Ml,"Aceite de oliva 0,4º Hacendado",19.75,1.98,3.3
Cuidado personal e Higiene,Higiene bucal,Carrefour,CAT-9480,Colutorio Encias Vitis 1000 Ml,Colutorio Encias Vitis 1000 Ml,17.69,5.75,3.3
Cuidado personal e Higiene,Higiene corporal,Carrefour,CAT-6598,Locion Corporal Cica Reparacion Intensa Para Piel Seca Neutrogena 2 Unidades 750 Ml ,Locion Corporal Cica Reparacion Intensa Para Piel Seca Neutrogena 2 Unidades 750 Ml ,21.3,3.35,3.3
Hogar,Lavavajillas,Mercadona,CAT-9583,Lavavajillas A Mano Pieles Sensibles Aloe Vera Y Jojoba Carrefour Essential 750 Ml,Bebida láctea crecimiento y desarrollo Puleva Max,10.74,1.75,3.3
Despensa,"Salsas, caldos y condimentos preparados",Carrefour,CAT-5348,Comida Humeda Sabores Mixtos En Salsa Para Perro Pedigree Pack De 12 Unidades De 100 G,Comida Humeda Sabores Mixtos En Salsa Para Perro Pedigree Pack De 12 Unidades De 100 G,9.49,3.27,3.3
Hogar,Limpiadores de superficie,Mercadona,CAT-9465,Limpiador Especifico Para Placas De Vitroceramica Vitroclen 450 Ml,"Aceite de oliva 0,4º Hacendado",19.75,1.85,3.3
Hogar,Limpiadores de superficie,Mercadona,CAT-9584,Limpiador De Hornos Con Sosa Caustica Carrefour Expert 500 Ml,"Aceite de oliva 0,4º Hacendado",19.75,1.85,3.3
Hogar,Limpiadores de superficie,Mercadona,CAT-9198,Quitagrasas Citrico Kh 7 780 Ml  Crema Limpiadora De Superficies Cif 250 Ml,"Aceite de oliva 0,4º Hacendado",19.75,1.85,3.3
Hogar,Limpiadores de superficie,Mercadona,CAT-6324,Limpiador De Bano En Gel Frescor Marino Chubb 15 L,"Aceite de oliva 0,4º Hacendado",19.75,1.85,3.3
Hogar,Limpiadores de superficie,Mercadona,CAT-6884,Limpiador De Suciedad Y Manchas De Humedad Cillit Bang 1 L,"Aceite de oliva 0,4º Hacendado",19.75,1.85,3.3
Hogar,Limpiadores de superficie,Mercadona,CAT-7490,Gel Limpiador Facial Al Agua Hidro Boost Neutrogena Pack De 2 Unidades De 200 Ml,"Aceite de oliva 0,4º Hacendado",19.75,1.85,3.3
Hogar,Limpiadores de superficie,Mercadona,CAT-5070,Limpiador En Aceite Espumoso Hidratante Cerave 473 Ml,"Aceite de oliva 0,4º Hacendado",19.75,1.85,3.3
Hogar,Limpiadores de superficie,Mercadona,CAT-7772,Limpiador De Banos En Crema Con Aroma Floral Cif 650 Ml,"Aceite de oliva 0,4º Hacendado",19.75,1.85,3.3
Hogar,Limpiadores de superficie,Mercadona,CAT-4524,Limpiador De Vitroceramica E Induccion En Crema Carrefour 500 Ml,"Aceite de oliva 0,4º Hacendado",19.75,1.85,3.3
Hogar,Limpiadores de superficie,Mercadona,CAT-5129,Set 7 Estropajos Jabonosos Desengrasantes De Acero Nanas,"Aceite de oliva 0,4º Hacendado",19.75,1.85,3.3
