categoria,subcategoria,super,id_catalogo,nombre_cat,nombre_super,precio,mediana_grupo,desv_sigma
Desayuno y Snack,Galletas dulces,Mercadona,CAT-8188,Galleta Rellena De Chocolate Con Leche Lotus Biscoff 150 G,"Aceite de oliva 0,4º Hacendado",19.75,1.95,3.1
Desayuno y Snack,Galletas dulces,Mercadona,CAT-5980,Galletas Infantiles Desde 10 Meses Nestle Pequegalletas Sin Aceite De Palma 180 G,"Aceite de oliva 0,4º Hacendado",19.75,1.95,3.1
Desayuno y Snack,Galletas dulces,Mercadona,CAT-4556,Galletas De Chocolate Rellenas De Crema Mini Oreo Pack De 4 Unidades De 40 G,"Aceite de oliva 0,4º Hacendado",19.75,1.95,3.1
Desayuno y Snack,Galletas dulces,Mercadona,CAT-5864,Barrita De Galleta Crujiente Cubierta De Chocolate Pack 5 Unidades De 415 G,"Aceite de oliva 0,4º Hacendado",19.75,1.95,3.1
Desayuno y Snack,Galletas dulces,Mercadona,CAT-5007,Galletas Rellenas De Crema De Chocolate Mini Principe Pack De 4 Unidades De 40 G,"Aceite de oliva 0,4º Hacendado",19.75,1.95,3.1
Desayuno y Snack,Galletas dulces,Mercadona,CAT-7426,Galletas De Barquillo Rellena Sabor Chocolate Carrefour 210 G,"Aceite de oliva 0,4º Hacendado",19.75,1.95,3.1
Desayuno y Snack,Galletas dulces,Mercadona,CAT-7383,Cookies Con Pepitas De Chocolate Carrefour Classic 225 G,"Aceite de oliva 0,4º Hacendado",19.75,1.95,3.1
Desayuno y Snack,Galletas dulces,Mercadona,CAT-5910,Galletas Rellenas De Crema De Chocolate Mega Carrefour Classic 500 G,"Aceite de oliva 0,4º Hacendado",19.75,1.95,3.1
Desayuno y Snack,Galletas dulces,Mercadona,CAT-9966,Galletas Safari Carrefour Classic Pack De 3 Unidades De 200 G,"Aceite de oliva 0,4º Hacendado",19.75,1.95,3.1
Cuidado personal e Higiene,Parafarmacia,Carrefour,CAT-9003,Crema Solar Ultra Serum Spf50 Avene 30 Ml,Crema Solar Ultra Serum Spf50 Avene 30 Ml,39.9,11.15,3.1
Cuidado personal e Higiene,Parafarmacia,Carrefour,CAT-9004,Crema Solar Ultra Serum Rellenador Spf50 Avene 30 Ml,Crema Solar Ultra Serum Rellenador Spf50 Avene 30 Ml,39.9,11.15,3.1
Cuidado personal e Higiene,Parafarmacia,Carrefour,CAT-9005,Crema Solar Ultra Serum Spf50 Avene 30 Ml,Crema Solar Ultra Serum Spf50 Avene 30 Ml,39.9,11.15,3.1
"Azúcar, caramelos y chocolate",Chocolates y bombones,Carrefour,CAT-9458,Barritas De Chocolate Fondant Bimanan 10 Ud,Barritas De Chocolate Fondant Bimanan 10 Ud,15.15,3.75,3.1
"Azúcar, caramelos y chocolate",Chocolates y bombones,Carrefour,CAT-9459,Barritas Sabor Chocolate Crujiente Bimanan Bekomplett Sin Gluten Pack De 8 Unidades De 35 G,Barritas Sabor Chocolate Crujiente Bimanan Bekomplett Sin Gluten Pack De 8 Unidades De 35 G,15.15,3.75,3.1
Despensa,Aceites,Carrefour,CAT-7207,Aceite De Oliva Virgen Serie Oro Coosur 5 L,Aceite De Oliva Virgen Serie Oro Coosur 5 L,21.95,4.29,3.1
Lácteos y Huevos,Quesos,AhorraMas,CAT-3124,Queso viejo de oveja,Queso de oveja viejo Alipende,15.99,3.41,3.1
Desayuno y Snack,Galletas dulces,DIA,CAT-7025,Helado Cookie Dough Ben  Jerrys 465 Ml,Tarrina de helado cookie dough Ben&Jerry's 406 g,6.99,2.62,3.1
Platos preparados,Platos preparados refrigerados,DIA,CAT-0384,Pollo asado troceado,Pollo asado troceado Bonchef 1.2 Kg,8.39,2.99,3.1
Cuidado personal e Higiene,Higiene bucal,Carrefour,CAT-4634,Colutorio De Uso Diario Que Previene El Sangrado Gingival Causado Por Encias Delicadas Y Gingivitis Gingilacer 1000 Ml,Colutorio De Uso Diario Que Previene El Sangrado Gingival Causado Por Encias Delicadas Y Gingivitis Gingilacer 1000 Ml,16.75,5.75,3.0
Conservas y Enlatados,"Sopas, cremas y otros preparados",Mercadona,CAT-7930,Tarrito De Crema De Verduras Desde 6 Meses Hero Solo Sin Gluten 190 G,"Aceite de oliva 0,4º Hacendado",19.75,1.75,3.0
Conservas y Enlatados,"Sopas, cremas y otros preparados",Mercadona,CAT-7931,Tarrito De Crema De Zanahoria Y Calabaza Verduras Desde 6 Meses Hero Solo Sin Gluten 190 G,"Aceite de oliva 0,4º Hacendado",19.75,1.75,3.0
Conservas y Enlatados,"Sopas, cremas y otros preparados",Mercadona,CAT-5276,Crema De Calabacin Con Queso Classic Carrefour Sin Gluten 500 Ml,"Aceite de oliva 0,4º Hacendado",19.75,1.75,3.0
Conservas y Enlatados,"Sopas, cremas y otros preparados",Mercadona,CAT-5278,Crema De Verduras Mediterraneas Classic Carrefour Sin Gluten 500 Ml,"Aceite de oliva 0,4º Hacendado",19.75,1.75,3.0
Conservas y Enlatados,"Sopas, cremas y otros preparados",Mercadona,CAT-5277,Crema De Verduras De La Huerta Classic Carrefour Sin Gluten 500 Ml,"Aceite de oliva 0,4º Hacendado",19.75,1.75,3.0
