id_producto;nombre;precio;categoria_actual;subcategoria_actual;categoria_nueva;subcategoria_nueva
ME-0456;Muslos de pollo deshuesados con piel;2.78;Carnicería y Charcutería;Pollo;;
ME-1088;Nachos Hacendado;0.9;Bazar y Varios;Otros bazar;;
ME-1090;Nachos tex-mex sabor queso Hacendado;0.95;Lácteos y Huevos;Quesos;;
ME-0997;Napolitana de chocolate 35%;0.95;Desayuno y Snack;Té e infusiones;;
ME-1006;Napolitana de crema 31%;0.95;Bazar y Varios;Otros bazar;;
ME-1028;Napolitana mixta;0.9;Bazar y Varios;Otros bazar;;
ME-1173;Napolitanas con relleno de cacao Hacendado;1.8;Bazar y Varios;Otros bazar;;
ME-1177;Napolitanas con relleno sabor crema Hacendado;1.8;Bazar y Varios;Otros bazar;;
ME-0066;Naranja de mesa;0.51;Frutas y Verduras;Fruta;;
ME-0067;Naranjas;4.35;Frutas y Verduras;Fruta;;
ME-2224;Nata fresca para cocinar Hacendado;1.3;Lácteos y Huevos;Mantequillas y Natas;;
ME-2218;Nata ligera para cocinar Hacendado;1.85;Lácteos y Huevos;Mantequillas y Natas;;
ME-2228;Nata ligera para cocinar sin lactosa Hacendado;2.4;Lácteos y Huevos;Mantequillas y Natas;;
ME-2220;Nata montada azucarada Hacendado;1.5;Lácteos y Huevos;Mantequillas y Natas;;
ME-2221;Nata para montar Hacendado;1.95;Lácteos y Huevos;Mantequillas y Natas;;
ME-1558;Natillas con chocolate +Proteínas Hacendado 1,3 g MG 10 g proteínas;1.8;Lácteos y Huevos;Postres lácteos;;
ME-1554;Natillas de chocolate con leche Hacendado;1.05;Lácteos y Huevos;"Leche y bebidas ""lácteas""";;
ME-1556;Natillas de chocolate Danet;1.75;Lácteos y Huevos;Postres lácteos;;
ME-1555;Natillas de vainilla Danet;1.75;Lácteos y Huevos;Postres lácteos;;
ME-1557;Natillas sabor vainilla +Proteínas Hacendado 12 g proteínas;1.8;Lácteos y Huevos;Postres lácteos;;
ME-1553;Natillas sabor vainilla con galleta Hacendado;1.25;Lácteos y Huevos;Postres lácteos;;
ME-1552;Natillas sabor vainilla Hacendado;1.05;Lácteos y Huevos;Postres lácteos;;
ME-0212;Navaja viva;4.9;Bazar y Varios;Otros bazar;;
ME-0197;Nécora cocida Hacendado;8.55;Bazar y Varios;Otros bazar;;
ME-0410;Néctar de guayaba Hacendado;1.3;Bazar y Varios;Otros bazar;;
ME-0406;Néctar de maracuyá Hacendado fruta de la pasión, mango, uva y manzana;1.5;Frutas y Verduras;Fruta;;
ME-0505;Néctar de piña La Verja;1.8;Frutas y Verduras;Fruta;;
ME-2746;Nidos al huevo Hacendado;1.45;Lácteos y Huevos;Huevos;;
ME-2753;Noodles de arroz Hacendado;1.45;Despensa;Arroz, pasta y quinoa;;
ME-3927;Noodles Yakisoba con carne y verduras;4.5;Bazar y Varios;Otros bazar;;
ME-2181;Ñoras Hacendado;1.56;Bazar y Varios;Otros bazar;;
ME-1404;Nuez de Brasil natural Hacendado;4.95;Desayuno y Snack;Frutos secos embasados;;
ME-1387;Nuez macadamia Hacendado tostada con sal;2.9;Desayuno y Snack;Frutos secos embasados;;
ME-2174;Nuez moscada molida Hacendado;1.65;Desayuno y Snack;Frutos secos embasados;;
ME-1401;Nuez natural Hacendado;3.7;Desayuno y Snack;Frutos secos embasados;;
ME-1368;Nuez natural Hacendado pelada;2.6;Desayuno y Snack;Frutos secos embasados;;
ME-1406;Nuez Pecana natural Hacendado pelada;4.05;Desayuno y Snack;Frutos secos embasados;;
ME-1410;Nuez troceada pelada Hacendado;1.8;Desayuno y Snack;Frutos secos embasados;;
ME-0946;Nuggets de pavo Hacendado ultracongelados;3.4;Carnicería y Charcutería;Pavo;;
ME-0943;Nuggets de pollo Hacendado ultracongelados;2.7;Carnicería y Charcutería;Pollo;;
ME-2718;Obleas para helado Hacendado;0.7;Congelados;Helados y postres congelados;;
ME-2717;Obleas redondas Hacendado;2.45;Bazar y Varios;Otros bazar;;
ME-2114;Orégano Hacendado;1.0;Bazar y Varios;Otros bazar;;
ME-0965;Oreja de cerdo cocida adobada Rogusa;4.6;Carnicería y Charcutería;Cerdo;;
ME-1878;Oreja guisada Hacendado;2.55;Bazar y Varios;Otros bazar;;
ME-1427;Orejones albaricoque Hacendado;3.5;Bazar y Varios;Otros bazar;;
ME-0206;Ostra viva;6.5;Bazar y Varios;Otros bazar;;
ME-0674;Pacharán Oibar;7.55;Bazar y Varios;Otros bazar;;
ME-2727;Pajaritas vegetales Hacendado;1.1;Bazar y Varios;Otros bazar;;
ME-4459;Pajitas rectas reutilizables;1.1;Bazar y Varios;Otros bazar;;
ME-1570;Paleta curada lonchas Paletas Marpa;2.1;Bazar y Varios;Otros bazar;;
ME-1584;Paleta de cebo ibérica La Hacienda del Ibérico;75.0;Bazar y Varios;Otros bazar;;
ME-1585;Paleta de cerdo curada Incarlopsa;30.0;Carnicería y Charcutería;Cerdo;;
ME-3375;Paleta sombras de ojos Deliplus 07 marrones;4.0;Bebidas;Licores y destilados;;
ME-3376;Paleta sombras de ojos Deliplus 10 rosados;4.0;Bebidas;Vino;;
ME-3377;Paleta sombras de ojos Deliplus 11 verdes;4.0;Bazar y Varios;Otros bazar;;
ME-3391;Paleta sombras de ojos e iluminadores Nude Romance Deliplus;6.5;Bazar y Varios;Otros bazar;;
ME-3390;Paleta sombras de ojos e iluminadores Pink Romance Deliplus;6.5;Bazar y Varios;Otros bazar;;
ME-1237;Paletilla de lechal entera congelada;16.84;Congelados;Verduras congeladas;;
ME-4460;Palillos redondos Bosque Verde;1.25;Bazar y Varios;Otros bazar;;
ME-0855;Palitos con frutos secos Hacendado;1.04;Bazar y Varios;Otros bazar;;
