supermercado,nombre_comercial,precio,marca,categoria,subcategoria,precio_por_unidad,url,imagen,referencia_externa
Alcampo,Harina de Avena Integral,,"Ecocesta, Ecocesta Productos Ecológicos",Bebidas,,500 g,https://es.openfoodfacts.org/producto/8422584013795,https://images.openfoodfacts.org/images/products/842/258/401/3795/front_es.10.400.jpg,8422584013795
Alcampo,Arroz al curry verde,,brillante,Bebidas,,250 g,https://es.openfoodfacts.org/producto/8410184800082,https://images.openfoodfacts.org/images/products/841/018/480/0082/front_es.34.400.jpg,8410184800082
Alcampo,Yatekomo curry,,Gallina Blanca,Bebidas,,61 g,https://es.openfoodfacts.org/producto/8410300351108,https://images.openfoodfacts.org/images/products/841/030/035/1108/front_es.21.400.jpg,8410300351108
Alcampo,Arroz integral,,Nomen,Bebidas,,1 Kg,https://es.openfoodfacts.org/producto/8411495114677,https://images.openfoodfacts.org/images/products/841/149/511/4677/front_es.62.400.jpg,8411495114677
Alcampo,Infusión Rooibos con vainilla,,Pompadour,Bebidas,,40 g,https://es.openfoodfacts.org/producto/8412900401009,https://images.openfoodfacts.org/images/products/841/290/040/1009/front_es.52.400.jpg,8412900401009
Alcampo,8 tortillas de trigo con maíz,,Auchan,Bebidas,,320 g,https://es.openfoodfacts.org/producto/8422424100197,https://images.openfoodfacts.org/images/products/842/242/410/0197/front_es.17.400.jpg,8422424100197
Alcampo,Cola de caballo plus 3,,Pompadour,Bebidas,,40 g,https://es.openfoodfacts.org/producto/8412900401092,https://images.openfoodfacts.org/images/products/841/290/040/1092/front_es.20.400.jpg,8412900401092
Alcampo,Camperos de centeno y quinoa,,Gespipafri,Bebidas,,120 g,https://es.openfoodfacts.org/producto/8411428004136,https://images.openfoodfacts.org/images/products/841/142/800/4136/front_es.6.400.jpg,8411428004136
Alcampo,Match Ball,,Risi,Snacks,,105 g,https://es.openfoodfacts.org/producto/8411859553777,https://images.openfoodfacts.org/images/products/841/185/955/3777/front_es.21.400.jpg,8411859553777
Alcampo,"Aceite de oliva suave 0,4º",,Carbonell,Bebidas,,,https://es.openfoodfacts.org/producto/8410010009689,https://images.openfoodfacts.org/images/products/841/001/000/9689/front_es.58.400.jpg,8410010009689
Alcampo,Tartelettes framboise sans gluten,,"Auchan,Santé",Cereales y Galletas,,0.13 kg,https://es.openfoodfacts.org/producto/3596710468799,https://images.openfoodfacts.org/images/products/359/671/046/8799/front_fr.73.400.jpg,3596710468799
Alcampo,Ensaladas sin gluten con tomate y espinacas,,Gallo,Bebidas,,,https://es.openfoodfacts.org/producto/8410069018588,https://images.openfoodfacts.org/images/products/841/006/901/8588/front_en.30.400.jpg,8410069018588
Alcampo,Corn Flakes sem Glúten,,Nacional,Bebidas,,375 g,https://es.openfoodfacts.org/producto/5601066602204,https://images.openfoodfacts.org/images/products/560/106/660/2204/front_pt.24.400.jpg,5601066602204
Alcampo,Yogurt natural orgánico,,Flor de Alfalfa,Lácteos y Huevos,,1 kg,https://es.openfoodfacts.org/producto/7503002671627,https://images.openfoodfacts.org/images/products/750/300/267/1627/front_en.7.400.jpg,7503002671627
Alcampo,Queso Untable para Barrar,,Auchan,Lácteos y Huevos,,300 g,https://es.openfoodfacts.org/producto/8410379913894,https://images.openfoodfacts.org/images/products/841/037/991/3894/front_es.35.400.jpg,8410379913894
Alcampo,Yarroz verduras con salsa curry,,Yatekomo,Bebidas,,83 g,https://es.openfoodfacts.org/producto/8410300369707,https://images.openfoodfacts.org/images/products/841/030/036/9707/front_es.3.400.jpg,8410300369707
