id,nombre_comercial,id_externo,precio
4236,Queso cheddar rallado Dia Selección Mundial 150 g,305861,1.89
4240,Bífidus con fresa doble 0% Dia pack 4 x 125 g,42065,1.29
4241,Bebida de soja con calcio Dia Vegedia 1 L,294324,0.79
4242,Café latte cappuccino Dia Arom'arte 250 ml,308137,0.89
4243,Café latte macchiato Dia Arom'arte 250 ml,308136,0.89
4244,Café latte espresso Dia Arom'arte 250 ml,308135,0.89
4245,Helado bombón mini popcorn y cookies 6 unidades Dia Temptation 216 g,305214,1.79
4246,Bebida de soja con calcio Dia Vegedia pack 6 x 1 L,294324P6,4.74
4254,Yogur natural desnatado edulcorado Dia Láctea pack 6 x 125 g,128592,0.99
4255,Bífidus con melocotón doble 0% Dia pack 4 x 125 g,262830,1.29
4256,Bífidus con kiwi y ciruela doble 0% Dia pack 4 x 125 g,262831,1.29
4257,Bífidus con piña y coco doble 0% Dia pack 4 x 125 g,262835,1.29
4259,"Yogur desnatado sabor limón, fresa y piña Dia Láctea pack 6 x 125 g",145652,1.29
4260,Huevos grandes L de gallinas criadas en suelo Dia 12 unidades,306230,3.3
4261,Huevos medianos M de gallinas criadas en suelo Dia 12 unidades,274010,3.1
4263,Huevos extragrandes L/XL de gallinas criadas en suelo Dia 6 unidades,305802,2.2
4266,Flan de huevo Dia Caprichoso pack 4 x 100 g,3387,1.69
4267,Huevos camperos medianos/grandes M/L Dia 10 unidades,274540,3.19
4270,Huevos medianos/grandes M/L de gallinas criadas en el suelo Dia 12 unidades,274011,3.49
4271,Natillas con galleta Dia Caprichoso pack 4 x 125 g,113550,1.25
4274,Natillas de chocolate Dia Caprichoso pack 4 x 125 g,294947,1.05
4275,Huevos ecológicos grandes/medianos M/L Dia 6 unidades,274541,2.95
4276,Flan de queso Dia Caprichoso pack 2 x 100 g,301951,1.09
4280,Huevos frescos categoría A clase L Dia 18 unidades,307884,4.69
4282,Margarina vitaminada con sal Diasol 500 g,55576,1.5
4284,Huevos medianos/grandes M/L maíz Grupo de lucas caja 12 unidades,135425,3.69
4285,Flan de café Dia Caprichoso pack 2 x 100 g,301952,1.0
4286,Margarina vitaminada Diasol 500 g,55575,1.5
4291,Bifrutas tropical Pascual pack 6 x 200 ml,125790,2.52
4293,Flan de huevo al baño maría Reina pack 6 x 100 g,215779,3.49
4294,Mantequilla ligera fácil de untar President 250 g,8545,2.95
4296,Flan de huevo doble 0% Dia Caprichoso pack 2 x 100 g,301953,0.98
4298,Huevos camperos Pazo de Vilane caja 12 unidades,241893,4.49
4299,Margarina al toque de aceite de oliva Flora 225 g,278909,1.99
4300,Margarina rica en omega 3 Flora 400 g,278898,3.19
4302,Bifrutas tropical Pascual pack 3 x 330 ml,42812,2.52
4305,Flan de huevo alto en proteínas Dia Láctea pack 4 x 100 g,305873,1.99
4306,Margarina Natacha 450 g,189288,1.59
4313,Bifrutas 100% natural tropical Pascual 240 ml,274201,0.99
4314,Batido alto en proteínas sabor pistacho Ehrmann brik 330 ml,308438,1.45
4316,Batido alto en proteínas sabor cookie cream Just loading botella 225 ml,303966,1.65
4317,Batido alto en proteínas sabor chocolate Just loading botella 225 ml,287450,1.65
4318,Bebida de avena y mango Dia Vegedia 1 L,308443,1.29
4319,Horchata Dia 1 L,26053,1.29
4320,Batido de chocolate Cacaolat 4 x 200 ml,304821,3.85
