id_dia,nombre_dia,id_catalogo,nombre_catalogo,score
209608,Vino blanco verdejo Viña Albalí 75 cl,1667,Vinagre de vino blanco Hacendado,71.7
263598,Vino tinto joven D.O. Valdepeñas Viña Danza 75 cl,221,Vino tinto crianza Viña Albali DO Valdepeñas,78.2
263701,Vino tinto crianza D.O. Ribera del Duero Arco del Sol 75 cl,232,Vino tinto roble Atardecer DO Ribera del Duero,74.7
187127,Vino blanco verdejo D.O. Rueda Veliterra 75 cl,326,Vino blanco verdejo Condado de Teón DO Rueda,73.8
40350,Vino tinto crianza D.O Rioja Señorío de Ondas 75 cl,216,Vino tinto crianza Cune DO Rioja,72.7
267780,Vino tinto crianza D.O. Cariñena Geraldino 75 cl,214,Vino tinto crianza El Coto DO Rioja,74.0
269521,Vino tinto roble D.O. Ribera del Duero Heredad Baran 75 cl,232,Vino tinto roble Atardecer DO Ribera del Duero,75.5
77654,Vino blanco semidulce D.O. Rioja Señorío de Ondas 75 cl,328,Vino blanco semidulce Diamante DO Rioja,72.7
103423,Ron añejo Brugal 70 cl,585,Ron añejo Negrita,72.7
269522,Vino tinto crianza D.O. Ribera del Duero Heredad Baran 75 cl,230,Vino tinto crianza Abadía Mantrús DO Ribera del Duero,76.6
272407,Licor de hierbas Mourama 70 cl,638,Licor de hierbas Puente Pazos,71.7
218564,Vino tinto reserva Faustino Rivero 75 cl,218,Vino tinto reserva Comportillo DO Rioja,71.2
55935,Licor de hierbas Ruavieja 70 cl,638,Licor de hierbas Puente Pazos,70.4
166038,Vino blanco verdejo D.O. Rueda Mayor de Castilla 75 cl,326,Vino blanco verdejo Condado de Teón DO Rueda,76.1
262787,Vino tinto reserva D.O. Valdepeñas Viña Danza 75 cl,221,Vino tinto crianza Viña Albali DO Valdepeñas,74.2
265815,Vino blanco verdejo D.O. Rueda Rioseco 75 cl,325,Vino blanco verdejo Abadía Mantrús DO Rueda,76.5
176701,Vino tinto crianza D.O Rioja Ramón Bilbao 75 cl,214,Vino tinto crianza El Coto DO Rioja,78.9
20574,Ron blanco Velero 70 cl,3900,Velote blanco Roura,77.8
263818,Vino rosado D.O. Valdepeñas Viña Danza 75 cl,221,Vino tinto crianza Viña Albali DO Valdepeñas,70.7
125351,Vino tinto crianza D.O. Rioja Marqués de Caceres 75 cl,214,Vino tinto crianza El Coto DO Rioja,74.7
272358,Vino blanco albariño D.O. Rías baixas Viña Balcis 75 cl,318,Vino blanco albariño Ponte Tamuxe DO Rías Baixas,76.3
293708,Vino tinto Mucho mas 75 cl,210,Vino tinto Don Simón,70.0
132500,Vino blanco verdejo D.O. Rueda Protos 75 cl,325,Vino blanco verdejo Abadía Mantrús DO Rueda,77.5
103843,Vino tinto D.O. Rioja Castillo de Albai 75 cl,218,Vino tinto reserva Comportillo DO Rioja,71.8
3475,Vino tinto crianza D.O. Rioja Ederra 75 cl,214,Vino tinto crianza El Coto DO Rioja,81.7
306460,Vino blanco semidulce Luminis 75 cl,328,Vino blanco semidulce Diamante DO Rioja,73.5
297271,Vino tinto joven D.O. Rioja Castillo de Haro 75 cl,215,Vino tinto cosecha Comportillo DO Rioja,72.3
207808,Vino blanco chardonnay D.O. Castilla Señorío de Ayerbe 75 cl,309,Vino blanco Don Simón chardonnay airén,71.7
67977,Vino tinto roble D.O. Ribera del Duero Altos de Tamarón 75 cl,232,Vino tinto roble Atardecer DO Ribera del Duero,75.2
265214,Vino frizzante verde Fizzy 75 cl,406,Vino blanco verdejo frizzante DulZ.Ze,73.0
80111,Vino tinto gran reserva D.O. Valdepeñas Viña Albalí 75 cl,221,Vino tinto crianza Viña Albali DO Valdepeñas,80.0
275283,Vino blanco Dulce María 75 cl,1667,Vinagre de vino blanco Hacendado,75.6
304871,Tinto de verano con limón Fiesta del Dia 330 ml,3345,Tinto de verano limón Casón Histórico,75.3
178251,Vino tinto crianza D.O. Rioja Azpilicueta 75 cl,214,Vino tinto crianza El Coto DO Rioja,78.9
189921,Vino rosado D.O. Rioja El coto 75 cl,315,Vino blanco El Coto DO Rioja,72.4
105588,Vino blanco verdejo D.O. Rueda Cuatro rayas 75 cl,326,Vino blanco verdejo Condado de Teón DO Rueda,73.6
77318,Vino tinto crianza D.O. Ribera del Duero Altos del Tamarón 75 cl,232,Vino tinto roble Atardecer DO Ribera del Duero,71.2
303651,Vermut rojo Ardanche 75 cl,543,Vermouth rojo Martini,73.2
36194,Vino tinto crianza D.O. Rioja Beronia 75 cl,214,Vino tinto crianza El Coto DO Rioja,80.6
187106,Vino tinto crianza D.O. Rioja Glorioso 75 cl,214,Vino tinto crianza El Coto DO Rioja,79.5
187084,Vino tinto roble D.O. Ribera del Duero Ribera del Duero 75 cl,232,Vino tinto roble Atardecer DO Ribera del Duero,77.2
143920,Tinto de verano con limón La Casera 33 cl,3345,Tinto de verano limón Casón Histórico,77.8
108145,Vino tinto crianza D.O. Rioja Faustino Rivero 75 cl,216,Vino tinto crianza Cune DO Rioja,72.7
183435,Vino blanco verdejo D.O. Rueda Pata negra 75 cl,325,Vino blanco verdejo Abadía Mantrús DO Rueda,73.8
114428,Vino tinto roble D.O. Ribera del Duero Mayor de Castilla 75 cl,232,Vino tinto roble Atardecer DO Ribera del Duero,76.5
282757,Vino tinto crianza D.O. Rioja López de Haro 75 cl,214,Vino tinto crianza El Coto DO Rioja,76.9
176704,Vino tinto crianza D.O. Ribera del Duero Protos 75 cl,230,Vino tinto crianza Abadía Mantrús DO Ribera del Duero,76.0
138540,Vino tinto reserva D.O. Ribera del Duero Altos del Tamarón 75 cl,231,Vino tinto reserva Abadía Mantrús DO Ribera del Duero,72.1
84588,Vino tinto crianza D.O. Madrid Puerta de Alcalá 75 cl,230,Vino tinto crianza Abadía Mantrús DO Ribera del Duero,72.0
177319,Vino tinto roble D.O. Ribera del Duero Legaris 75 cl,232,Vino tinto roble Atardecer DO Ribera del Duero,76.1
275278,Vino blanco Habla de ti 75 cl,1667,Vinagre de vino blanco Hacendado,71.1
308262,Vino blanco verdejo DO Rueda Pata negra 20 cl,325,Vino blanco verdejo Abadía Mantrús DO Rueda,75.6
221712,Vino tinto D.O. Rioja Beronia 75 cl,216,Vino tinto crianza Cune DO Rioja,75.4
224032,Tinto de verano sin alcohol con limón La casera 33 cl,3899,"Tinto de verano 0,0% sin alcohol limón Don Simón",75.8
55937,Ron añejo Havana 70 cl,585,Ron añejo Negrita,72.7
185547,Vino tinto gran reserva D.O. Rioja Faustino 75 cl,218,Vino tinto reserva Comportillo DO Rioja,73.2
280261,Vermouth blanco verdejo 61 75 cl,541,Vermouth blanco Maronti,73.5
302893,"Beefeater 0,0 sin alcohol 70 cl",3332,"Cerveza 0,0% sin alcohol Falke",76.4
275400,Vino blanco D.O. Madrid Puerta de Alcalá 75 cl,313,Vino blanco Marina Alta DO Alicante,72.0
308227,Licor de hierbas Del mono 70 cl,638,Licor de hierbas Puente Pazos,70.4
422,Vinagre de vino blanco Aliña tu Dia 1 L,1667,Vinagre de vino blanco Hacendado,77.2
211412,Vinagre de vino tinto Borges 1 L,1667,Vinagre de vino blanco Hacendado,72.0
101,Aceite refinado de girasol Diasol 1 L,1674,"Aceite de girasol refinado 0,2º Hacendado",81.2
112529,Aceite de oliva virgen extra Dia La Almazara del Olivar 1 L,1666,Aceite de oliva virgen extra Picual Casa Juncal,70.6
