score,nombre_dia,nombre_mercadona,id_maestro,id_dia
85.24590163934427,Caldo de pollo bajo en sal Dia Al Punto 1 L,Caldo de pollo Hacendado bajo en sal,P-3090,5277
85.24590163934427,Tomate frito estilo casero Hida 340 g,Tomate frito estilo casero Hacendado,P-2116,7109
85.24590163934427,Café en grano natural Dia Cafetería 500 g,Café en grano natural Hacendado descafeinado,P-2774,8105
85.18518518518519,Crema de queso semicurado Dia Láctea 125 g,Queso semicurado de cabra Hacendado,P-2173,4608
85.18518518518519,Berberechos al natural Dani 90 g,Berberechos al natural M Hacendado,P-2778,5538
85.18518518518519,Berberechos al natural Dani 63 g,Berberechos al natural M Hacendado,P-2778,5541
85.0,Yogur líquido sabor fresa Dia Láctea botella 1 Kg,Yogur sabor fresa Hacendado,P-0705,4373
85.0,Fiambre de pechuga de pavo adobada Serrano 240 g,Fiambre de pechuga de pavo adobada,P-0913,5248
85.0,Ron añejo Negrita 50 cl,Ron añejo Negrita,P-0587,6791
84.93150684931507,Bebida de chufa sin azúcares añadidos Dia 1 L,Bebida de piña Hacendado sin azúcares añadidos,P-0473,4327
84.84848484848484,Galletas con pepitas de chocolate con leche Milka bolsa 110 g,Mini magdalenas con pepitas de chocolate con leche Hacendado,P-1121,4193
84.84848484848484,Pan de molde blanco sin gluten Bimbo 375 g,Pan de molde sin gluten blanco Hacendado,P-0671,5783
84.84848484848484,Aceite de oliva virgen extra Carbonell 1 L,Aceite de oliva virgen extra Hacendado,P-1664,7054
84.78260869565217,Tortitas de arroz con chocolate con leche Bicentury bolsa 130 g,Tortitas de arroz con chocolate con leche Hacendado,P-2404,4120
84.78260869565217,Pimientos del piquillo en tiras con ajo Dia Vegecampo 225 g,Pimientos del piquillo en tiras con ajo Hacendado,P-2980,5088
84.7457627118644,Refresco de naranja sin gas Dia Upss 1.5 L,Refresco de naranja sin gas,P-3284,6474
84.7457627118644,Refresco de naranja sin gas Dia Upss 330 ml,Refresco de naranja sin gas,P-3284,6481
84.7457627118644,Cerveza Estrella Galicia 33 cl,Cerveza especial Estrella Galicia,P-3323,6656
84.7457627118644,Aceite refinado de girasol Diasol 5 L,"Aceite de girasol refinado 0,2º Hacendado",P-1676,7041
84.7457627118644,Cereales de arroz inflado Kellogg's Choco Krispies caja 420 g,Cereales de arroz inflado Choco Krispies Kellogg's con chocolate,P-2250,7335
84.7457627118644,Chocolate negro 95% cacao Trapa 80 g,Chocolate negro 85% cacao Hacendado,P-3157,7788
84.61538461538461,Yogur natural de cabra Dia Láctea pack 2 x 125 g,Yogur natural de cabra Hacendado,P-0702,4337
84.61538461538461,Alitas asadas de pollo Bonchef 500 g,Alitas de pollo asadas Hacendado,P-1739,5238
84.61538461538461,Vino tinto D.O. Campo de Borja Borsao 75 cl,Vino tinto Borsao DO Campo de Borja,P-0233,6921
84.5360824742268,Chocolate con leche y almendras enteras 0% azúcares Valor 150 g,Chocolate con leche Valor almendras enteras,P-3174,4074
84.50704225352112,Crema de vinagre de Módena Aliña tu Dia 250 ml,Crema de vinagre balsámico de Módena Hacendado,P-1672,7164
84.44444444444444,Leche semidesnatada Madriz 1 L,Leche semidesnatada Hacendado,P-1774,3960
84.44444444444444,Barritas de cereales con chocolate con leche Corny caja 120 g,Barritas de cereales Hacendado chocolate con leche,P-2275,4105
84.44444444444444,Barritas de cereales con chocolate con leche Corny caja 150 g,Barritas de cereales Hacendado chocolate con leche,P-2275,4106
84.44444444444444,Chocolate con leche Lindt 100 g,Chocolate con leche fundir Hacendado,P-1387,4137
84.44444444444444,Rulo de queso de cabra Dia Láctea 140 g,Queso rulo de cabra Hacendado,P-2072,4527
