ï»¿id_producto;nombre;precio;categoria_actual;subcategoria_actual;categoria_nueva;subcategoria_nueva
ME-1275;Compresa sin alas de incontinencia Deliplus Maxi Night;315;Bazar y Varios;Otros bazar;Revisar;Revisar
ME-1271;Compresa sin alas de incontinencia Deliplus Mini;335;Bazar y Varios;Otros bazar;Revisar;Revisar
ME-1264;Compresa sin alas de incontinencia Deliplus Normal;335;Bazar y Varios;Otros bazar;Revisar;Revisar
ME-1267;Compresa sin alas normal Deliplus;215;Bazar y Varios;Otros bazar;Revisar;Revisar
ME-1254;Compresa sin alas normal Deliplus Classic;11;Bazar y Varios;Otros bazar;Revisar;Revisar
ME-1276;Compresa sin alas normal Evax cotton like;285;Bazar y Varios;Otros bazar;Revisar;Revisar
ME-1260;Compresa sin alas normal plegada Deliplus Classic;12;Bazar y Varios;Otros bazar;Revisar;Revisar
ME-1270;Compresa sin alas super Deliplus;215;Bazar y Varios;Otros bazar;Revisar;Revisar
ME-1262;Compresa sin alas super plegada Deliplus Classic;14;Bazar y Varios;Otros bazar;Revisar;Revisar
ME-3968;Comprimidos cabello y uÃ±as Deliplus;395;Bazar y Varios;Otros bazar;Revisar;Revisar
ME-3951;Comprimidos Dormir Deliplus;395;Bazar y Varios;Otros bazar;Revisar;Revisar
ME-3952;Comprimidos efervescentes vitamina C y zinc Deliplus sabor limÃ³n;195;Bazar y Varios;Otros bazar;Revisar;Revisar
ME-3950;Comprimidos Vitaminas y Minerales Deliplus;30;Bazar y Varios;Otros bazar;Revisar;Revisar
ME-3100;Concha fina al natural Hacendado;19;Bazar y Varios;Otros bazar;Revisar;Revisar
ME-0540;Conejo entero;1032;Bazar y Varios;Otros bazar;Revisar;Revisar
ME-3489;Confitura de melocotÃ³n Hacendado 0% azÃºcares aÃ±adidos;16;Bazar y Varios;Otros bazar;Revisar;Revisar
ME-0677;Contorno de ojos Antiarrugas e Iluminador con silicio Sisbela Reafirm Deliplus;45;Bazar y Varios;Otros bazar;Revisar;Revisar
ME-0680;Contorno de ojos arrugas y bolsas Deliplus Prevent Age Skin;45;Bazar y Varios;Otros bazar;Revisar;Revisar
ME-1616;Contorno de ojos Men Care Regen Skin Deliplus;50;Bazar y Varios;Otros bazar;Revisar;Revisar
ME-0679;Contorno de ojos y pÃ¡rpados Dragon's blood Anti Ox;45;Bazar y Varios;Otros bazar;Revisar;Revisar
ME-2462;Copos de avena BrÃ¼ggen;135;Bazar y Varios;Otros bazar;Revisar;Revisar
ME-2461;Copos de avena sin gluten Hacendado;21;Bazar y Varios;Otros bazar;Revisar;Revisar
ME-1190;Coquito;19;Bazar y Varios;Otros bazar;Revisar;Revisar
ME-3028;Corrector fluido Hydra Deliplus 100 porcelana;50;Bazar y Varios;Otros bazar;Revisar;Revisar
ME-3029;Corrector fluido Hydra Deliplus 200 vainilla;50;Bazar y Varios;Otros bazar;Revisar;Revisar
ME-3030;Corrector fluido Hydra Deliplus 300 arena;50;Bazar y Varios;Otros bazar;Revisar;Revisar
ME-3023;Corrector fluido multiusos Long Lasting Deliplus mate 100 beige rosado;475;Bazar y Varios;Otros bazar;Revisar;Revisar
ME-3021;Corrector Mate Stick Deliplus 100 beige rosado;425;Bazar y Varios;Otros bazar;Revisar;Revisar
ME-3019;Corrector serum luminoso Deliplus 100 beige claro;50;Bazar y Varios;Otros bazar;Revisar;Revisar
ME-3020;Corrector serum luminoso Deliplus 200 beige oscuro;50;Bazar y Varios;Otros bazar;Revisar;Revisar
ME-1815;Corta cutÃ­culas Deliplus;21;Bazar y Varios;Otros bazar;Revisar;Revisar
ME-1819;CortaÃºÃ±as manos y pies Deliplus;19;Bazar y Varios;Otros bazar;Revisar;Revisar
ME-2595;Cous cous mediano Hacendado;195;Bazar y Varios;Otros bazar;Revisar;Revisar
ME-0879;Crema adhesiva para prÃ³tesis dentales Benfix sin sabor;35;Bazar y Varios;Otros bazar;Revisar;Revisar
ME-3660;Crema al cacao con avellanas Hacendado;205;Bazar y Varios;Otros bazar;Revisar;Revisar
ME-3665;Crema al cacao con avellanas Hacendado de 2 sabores;205;Bazar y Varios;Otros bazar;Revisar;Revisar
ME-3662;Crema al cacao con avellanas Nutella;40;Bazar y Varios;Otros bazar;Revisar;Revisar
ME-1613;Crema cara, cuerpo y manos Nivea Men;495;Bazar y Varios;Otros bazar;Revisar;Revisar
ME-1633;Crema catalana Hacendado;275;Bazar y Varios;Otros bazar;Revisar;Revisar
ME-1127;Crema corporal anticelulÃ­tica Deliplus;20;Bazar y Varios;Otros bazar;Revisar;Revisar
ME-1134;Crema corporal Esferas Vit. E&A Deliplus;31;Bazar y Varios;Otros bazar;Revisar;Revisar
ME-1121;Crema corporal Nivea;40;Bazar y Varios;Otros bazar;Revisar;Revisar
ME-1136;Crema corporal Olive Deliplus;18;Bazar y Varios;Otros bazar;Revisar;Revisar
ME-3661;Crema de avellanas y cacao Hacendado;245;Bazar y Varios;Otros bazar;Revisar;Revisar
ME-3506;Crema de calabacÃ­n Hacendado;10;Bazar y Varios;Otros bazar;Revisar;Revisar
ME-3502;Crema de calabaza Hacendado;10;Bazar y Varios;Otros bazar;Revisar;Revisar
ME-3499;Crema de espÃ¡rragos Hacendado;17;Bazar y Varios;Otros bazar;Revisar;Revisar
ME-1144;Crema de manos anti-manchas Deliplus FPS 20;13;Bazar y Varios;Otros bazar;Revisar;Revisar
ME-1140;Crema de manos flor de JapÃ³n Deliplus Hidrata & Perfuma;10;Bazar y Varios;Otros bazar;Revisar;Revisar
ME-1145;Crema de manos intensiva Dove;20;Bazar y Varios;Otros bazar;Revisar;Revisar
ME-1146;Crema de manos nutritiva KaritÃ© Deliplus;13;Bazar y Varios;Otros bazar;Revisar;Revisar
ME-1147;Crema de manos Oriental Woods Deliplus;30;Bazar y Varios;Otros bazar;Revisar;Revisar
ME-1142;Crema de manos reparadora Deliplus;13;Bazar y Varios;Otros bazar;Revisar;Revisar
ME-2226;Crema de soja Hacendado;11;Bazar y Varios;Otros bazar;Revisar;Revisar
ME-3500;Crema de verduras Hacendado;17;Bazar y Varios;Otros bazar;Revisar;Revisar
ME-1481;Crema depilatoria facial Deliplus piel sensible;23;Bazar y Varios;Otros bazar;Revisar;Revisar
ME-1475;Crema depilatoria hombre Deliplus piel normal;265;Bazar y Varios;Otros bazar;Revisar;Revisar
ME-1476;Crema depilatoria mujer para el cuerpo Deliplus piel sensible;265;Bazar y Varios;Otros bazar;Revisar;Revisar
ME-1148;Crema para pies 10% urea pura Deliplus;12;Bazar y Varios;Otros bazar;Revisar;Revisar
ME-2250;Crema protecciÃ³n solar Deliplus FPS 50+;40;Bazar y Varios;Otros bazar;Revisar;Revisar
ME-2252;Crema protecciÃ³n solar facial Deliplus FPS 50+;60;Bazar y Varios;Otros bazar;Revisar;Revisar
ME-1630;Cuajada Hacendado;125;Bazar y Varios;Otros bazar;Revisar;Revisar
ME-4510;Cubo con ruedas 13L Bosque Verde;36;Bazar y Varios;Otros bazar;Revisar;Revisar
ME-4507;Cubo de basura mediano 30L Bosque Verde 30,2 x 30,5 x 41,9 cm;83;Bazar y Varios;Otros bazar;Revisar;Revisar
ME-4508;Cubo de basura pequeÃ±o 10L Bosque Verde 24,1 x 25 x 24,7 cm;725;Bazar y Varios;Otros bazar;Revisar;Revisar
ME-3469;Cubos de hielo;575;Bazar y Varios;Otros bazar;Revisar;Revisar
