supermercado,nombre_comercial,precio,marca,categoria,subcategoria,precio_por_unidad,url,imagen,referencia_externa
DIA,Rosquillas de azúcar Pelayo bolsa 250 g,1.59,Pelayo,"Galletas, bollos y cereales",Bollería,6.36,https://www.dia.es/galletas-bollos-y-cereales/bolleria/p/279899,https://www.dia.es/product_images/279899/279899_ISO_0_ES.jpg,279899
DIA,Berlina de chocolate rellena de crema El molino de Dia 100 g,0.47,El molino de Dia,"Galletas, bollos y cereales",Bollería,5.24,https://www.dia.es/galletas-bollos-y-cereales/bolleria/p/283356,https://www.dia.es/product_images/283356/283356_ISO_0_ES.jpg,283356
DIA,Sobaos El molino de Dia bolsa 350 g,1.39,El molino de Dia,"Galletas, bollos y cereales",Bollería,3.97,https://www.dia.es/galletas-bollos-y-cereales/bolleria/p/54726,https://www.dia.es/product_images/54726/54726_ISO_0_ES.jpg,54726
DIA,Briochoco con pepitas de chocolate Dulcesol bolsa 160 g,1.29,Dulcesol,"Galletas, bollos y cereales",Bollería,8.06,https://www.dia.es/galletas-bollos-y-cereales/bolleria/p/271497,https://www.dia.es/product_images/271497/271497_ISO_0_ES.jpg,271497
DIA,Berlinas fondant Donuts bandeja 4 unidades 228 g,2.89,Donuts,"Galletas, bollos y cereales",Bollería,12.68,https://www.dia.es/galletas-bollos-y-cereales/bolleria/p/121001,https://www.dia.es/product_images/121001/121001_ISO_0_ES.jpg,121001
DIA,Cañas rellenas de crema Dulcesol bolsa 150 g,1.0,Dulcesol,"Galletas, bollos y cereales",Bollería,6.67,https://www.dia.es/galletas-bollos-y-cereales/bolleria/p/271495,https://www.dia.es/product_images/271495/271495_ISO_0_ES.jpg,271495
DIA,Bizcocho marmolado El molino de Dia bolsa 400 g,2.29,El molino de Dia,"Galletas, bollos y cereales",Bollería,5.73,https://www.dia.es/galletas-bollos-y-cereales/bolleria/p/248525,https://www.dia.es/product_images/248525/248525_ISO_0_ES.jpg,248525
DIA,Bracitos de cacao rellenos de trufa Dulcesol bolsa 140 g,1.0,Dulcesol,"Galletas, bollos y cereales",Bollería,7.14,https://www.dia.es/galletas-bollos-y-cereales/bolleria/p/271496,https://www.dia.es/product_images/271496/271496_ISO_0_ES.jpg,271496
DIA,Tortas de anís con aceite de oliva Inés Rosales bolsa 180 g,2.1,Inés Rosales,"Galletas, bollos y cereales",Galletas,11.67,https://www.dia.es/galletas-bollos-y-cereales/galletas/p/136186,https://www.dia.es/product_images/136186/136186_ISO_0_ES.jpg,136186
DIA,Bombón zebra relleno de cacao Dulcesol bolsa 120 g,1.0,Dulcesol,"Galletas, bollos y cereales",Bollería,8.33,https://www.dia.es/galletas-bollos-y-cereales/bolleria/p/271505,https://www.dia.es/product_images/271505/271505_ISO_0_ES.jpg,271505
DIA,Berlina de crema de cacao El molino de Dia 90 g,0.69,El molino de Dia,"Galletas, bollos y cereales",Bollería,7.67,https://www.dia.es/galletas-bollos-y-cereales/bolleria/p/274311,https://www.dia.es/product_images/274311/274311_ISO_0_ES.jpg,274311
DIA,Rosquilla rellena de crema Biscoff cubierta de chocolate blanco y galleta 76 g,0.79,Biscoff,"Galletas, bollos y cereales",Bollería,10.39,https://www.dia.es/galletas-bollos-y-cereales/bolleria/p/307937,https://www.dia.es/product_images/307937/307937_ISO_0_ES.jpg,307937
DIA,Tortas de algarrobo Lupiañez caja 250 g,1.29,Lupiañez,"Galletas, bollos y cereales",Galletas,5.16,https://www.dia.es/galletas-bollos-y-cereales/galletas/p/294660,https://www.dia.es/product_images/294660/294660_ISO_0_ES.jpg,294660
DIA,Chapelas zebra Dulcesol bolsa 126 g,1.0,Dulcesol,"Galletas, bollos y cereales",Bollería,7.94,https://www.dia.es/galletas-bollos-y-cereales/bolleria/p/271503,https://www.dia.es/product_images/271503/271503_ISO_0_ES.jpg,271503
DIA,Magdalenas valencianas El molino de Dia bolsa 350 g,1.39,El molino de Dia,"Galletas, bollos y cereales",Bollería,3.97,https://www.dia.es/galletas-bollos-y-cereales/bolleria/p/105304,https://www.dia.es/product_images/105304/105304_ISO_0_ES.jpg,105304
DIA,Bollos rellenos de cacao Bollycao bolsa 228 g,2.99,Bollycao,"Galletas, bollos y cereales",Bollería,13.11,https://www.dia.es/galletas-bollos-y-cereales/bolleria/p/73170,https://www.dia.es/product_images/73170/73170_ISO_0_ES.jpg,73170
DIA,Cuadrados de cacao relleno sabor trufa Dulcesol bolsa 114 g,1.0,Dulcesol,"Galletas, bollos y cereales",Bollería,8.77,https://www.dia.es/galletas-bollos-y-cereales/bolleria/p/309235,https://www.dia.es/product_images/309235/309235_ISO_0_ES.jpg,309235
DIA,Hojaldre de Astorga El molino de Dia bandeja 180 g,1.29,El molino de Dia,"Galletas, bollos y cereales",Bollería,7.17,https://www.dia.es/galletas-bollos-y-cereales/bolleria/p/287689,https://www.dia.es/product_images/287689/287689_ISO_0_ES.jpg,287689
DIA,Lunas al cacao Dulcesol bolsa 90 g,1.0,Dulcesol,"Galletas, bollos y cereales",Bollería,11.11,https://www.dia.es/galletas-bollos-y-cereales/bolleria/p/307916,https://www.dia.es/product_images/307916/307916_ISO_0_ES.jpg,307916
DIA,Bizcochitos de limón Mandul bolsa 200 g,1.95,Mandul,"Galletas, bollos y cereales",Bollería,9.75,https://www.dia.es/galletas-bollos-y-cereales/bolleria/p/307210,https://www.dia.es/product_images/307210/307210_ISO_0_ES.jpg,307210
DIA,Brazo relleno de fresa El molino de Dia bolsa 300 g,1.79,El molino de Dia,"Galletas, bollos y cereales",Bollería,5.97,https://www.dia.es/galletas-bollos-y-cereales/bolleria/p/42843,https://www.dia.es/product_images/42843/42843_ISO_0_ES.jpg,42843
DIA,Bocaditos El molino de Dia bolsa 195 g,1.25,El molino de Dia,"Galletas, bollos y cereales",Bollería,6.41,https://www.dia.es/galletas-bollos-y-cereales/bolleria/p/306402,https://www.dia.es/product_images/306402/306402_ISO_0_ES.jpg,306402
DIA,Rosquilla con nubes El molino de Dia 54 g,0.49,El molino de Dia,"Galletas, bollos y cereales",Bollería,9.07,https://www.dia.es/galletas-bollos-y-cereales/bolleria/p/262540,https://www.dia.es/product_images/262540/262540_ISO_0_ES.jpg,262540
