score,nombre_dia,nombre_mercadona,id_maestro,id_dia
70.58823529411764,Magdalenas concha Arenas bolsa 300 g,8 Magdalenas con azúcar,P-0935,5983
70.58823529411764,Whisky J&B 70 cl,Whisky escocés J&B,P-0557,6799
70.58823529411764,Perlitas de chocolate Dr. Oetker bolsa 100 g,Gotas de chocolate negro para fundir Hacendado,P-1380,7778
70.4225352112676,Verduras para microondas Dia Vegecampo 300 g,3 Vegetales para microondas lavados,P-0153,4869
70.4225352112676,Mini croissants con cacao El molino de Dia bolsa 150 g,6 Croissant rellenos de cacao,P-0930,5979
70.4225352112676,Limonada con gas San Pellegrino 330 ml,Agua mineral con gas grande San Pellegrino,P-3145,6360
70.37037037037037,Golosinas funiverse mix Trolli bolsa 100 g,Golosinas Fresi Pink Mix Hacendado,P-3260,8318
70.37037037037037,Golosinas tropical mix Vidal bolsa 180 g,Golosinas Mix con pica Hacendado,P-3263,8344
70.2127659574468,Cacahuetes con cáscara tostados sin sal añadida Dia Naturmundo 250 g,Cacahuete tostado Hacendado pelado 0% sal añadida,P-1338,6065
70.17543859649122,Mantequilla Central Lechera Asturiana 250 g,Leche entera Asturiana,P-1798,4126
70.17543859649122,Tagliata al huevo Dia Al Diante 500 g,Pasta fresca tagliatelle al huevo Hacendado,P-2520,4627
70.17543859649122,Espárrago verde grueso manojo aprox. 250 g,Espárragos verdes gruesos,P-0147,4888
70.17543859649122,Espárrago verde fino manojo aprox. 250 g,Espárragos verdes finos,P-0141,5065
70.17543859649122,Almejones al natural Dia Mari Marinera 63 g,Almejones al natural Hacendado,P-2779,5510
70.17543859649122,Alubias blancas cocidas Dia Vegecampo 400 g,Alubia cocida blanca Hacendado,P-2559,7315
70.0,Pan viena integral 50% El molino de Dia 80 g,Pan de molde 100% integral Hacendado,P-0666,5743
70.0,Croissants El molino de Dia bolsa 390 g,12 Mini croissants de mantequilla,P-0929,5941
