id_producto;nombre;precio;categoria_actual;subcategoria_actual;categoria_nueva;subcategoria_nueva
ME-0680;Contorno de ojos arrugas y bolsas Deliplus Prevent Age Skin;45;Bazar y Varios;Otros bazar;;
ME-1616;Contorno de ojos Men Care Regen Skin Deliplus;50;Bazar y Varios;Otros bazar;;
ME-0679;Contorno de ojos y párpados Dragon's blood Anti Ox;45;Bazar y Varios;Otros bazar;;
ME-2462;Copos de avena Brüggen;135;Bazar y Varios;Otros bazar;;
ME-2461;Copos de avena sin gluten Hacendado;21;Bazar y Varios;Otros bazar;;
ME-1190;Coquito;19;Bazar y Varios;Otros bazar;;
ME-3028;Corrector fluido Hydra Deliplus 100 porcelana;50;Bazar y Varios;Otros bazar;;
ME-3029;Corrector fluido Hydra Deliplus 200 vainilla;50;Bazar y Varios;Otros bazar;;
ME-3030;Corrector fluido Hydra Deliplus 300 arena;50;Bazar y Varios;Otros bazar;;
ME-3023;Corrector fluido multiusos Long Lasting Deliplus mate 100 beige rosado;475;Bazar y Varios;Otros bazar;;
ME-3021;Corrector Mate Stick Deliplus 100 beige rosado;425;Bazar y Varios;Otros bazar;;
ME-3019;Corrector serum luminoso Deliplus 100 beige claro;50;Bazar y Varios;Otros bazar;;
ME-3020;Corrector serum luminoso Deliplus 200 beige oscuro;50;Bazar y Varios;Otros bazar;;
ME-1815;Corta cutículas Deliplus;21;Bazar y Varios;Otros bazar;;
ME-1819;Cortaúñas manos y pies Deliplus;19;Bazar y Varios;Otros bazar;;
ME-2595;Cous cous mediano Hacendado;195;Bazar y Varios;Otros bazar;;
ME-0879;Crema adhesiva para prótesis dentales Benfix sin sabor;35;Bazar y Varios;Otros bazar;;
ME-3660;Crema al cacao con avellanas Hacendado;205;Bazar y Varios;Otros bazar;;
ME-3665;Crema al cacao con avellanas Hacendado de 2 sabores;205;Bazar y Varios;Otros bazar;;
ME-3662;Crema al cacao con avellanas Nutella;40;Bazar y Varios;Otros bazar;;
ME-1613;Crema cara, cuerpo y manos Nivea Men;495;Bazar y Varios;Otros bazar;;
ME-1633;Crema catalana Hacendado;275;Bazar y Varios;Otros bazar;;
ME-1127;Crema corporal anticelulítica Deliplus;20;Bazar y Varios;Otros bazar;;
ME-1134;Crema corporal Esferas Vit. E&A Deliplus;31;Bazar y Varios;Otros bazar;;
ME-1121;Crema corporal Nivea;40;Bazar y Varios;Otros bazar;;
ME-1136;Crema corporal Olive Deliplus;18;Bazar y Varios;Otros bazar;;
ME-3661;Crema de avellanas y cacao Hacendado;245;Bazar y Varios;Otros bazar;;
ME-3506;Crema de calabacín Hacendado;10;Bazar y Varios;Otros bazar;;
ME-3502;Crema de calabaza Hacendado;10;Bazar y Varios;Otros bazar;;
ME-3499;Crema de espárragos Hacendado;17;Bazar y Varios;Otros bazar;;
ME-1144;Crema de manos anti-manchas Deliplus FPS 20;13;Bazar y Varios;Otros bazar;;
ME-1140;Crema de manos flor de Japón Deliplus Hidrata & Perfuma;10;Bazar y Varios;Otros bazar;;
ME-1145;Crema de manos intensiva Dove;20;Bazar y Varios;Otros bazar;;
ME-1146;Crema de manos nutritiva Karité Deliplus;13;Bazar y Varios;Otros bazar;;
ME-1147;Crema de manos Oriental Woods Deliplus;30;Bazar y Varios;Otros bazar;;
ME-1142;Crema de manos reparadora Deliplus;13;Bazar y Varios;Otros bazar;;
ME-2226;Crema de soja Hacendado;11;Bazar y Varios;Otros bazar;;
ME-3500;Crema de verduras Hacendado;17;Bazar y Varios;Otros bazar;;
ME-1481;Crema depilatoria facial Deliplus piel sensible;23;Bazar y Varios;Otros bazar;;
ME-1475;Crema depilatoria hombre Deliplus piel normal;265;Bazar y Varios;Otros bazar;;
ME-1476;Crema depilatoria mujer para el cuerpo Deliplus piel sensible;265;Bazar y Varios;Otros bazar;;
ME-1148;Crema para pies 10% urea pura Deliplus;12;Bazar y Varios;Otros bazar;;
ME-2250;Crema protección solar Deliplus FPS 50+;40;Bazar y Varios;Otros bazar;;
ME-2252;Crema protección solar facial Deliplus FPS 50+;60;Bazar y Varios;Otros bazar;;
ME-1630;Cuajada Hacendado;125;Bazar y Varios;Otros bazar;;
ME-4510;Cubo con ruedas 13L Bosque Verde;36;Bazar y Varios;Otros bazar;;
ME-4507;Cubo de basura mediano 30L Bosque Verde 30,2 x 30,5 x 41,9 cm;83;Bazar y Varios;Otros bazar;;
ME-4508;Cubo de basura pequeño 10L Bosque Verde 24,1 x 25 x 24,7 cm;725;Bazar y Varios;Otros bazar;;
ME-3469;Cubos de hielo;575;Bazar y Varios;Otros bazar;;
ME-4455;Cucharas de plástico Bosque Verde reutilizables;155;Bazar y Varios;Otros bazar;;
ME-4456;Cucharas postre de plástico Bosque Verde reutilizables;145;Bazar y Varios;Otros bazar;;
ME-1492;Cuchillas para perfilar cejas y vello facial Deliplus;28;Bazar y Varios;Otros bazar;;
ME-4458;Cuchillos de plástico Bosque Verde reutilizables;155;Bazar y Varios;Otros bazar;;
ME-1095;Cuquis Hacendado;75;Bazar y Varios;Otros bazar;;
ME-2178;Cúrcuma Hacendado;13;Bazar y Varios;Otros bazar;;
ME-2173;Curry Hacendado;11;Bazar y Varios;Otros bazar;;
ME-1430;Dátiles desecados sin hueso Hacendado;18;Bazar y Varios;Otros bazar;;
ME-1428;Dátiles en rama Hacendado;345;Bazar y Varios;Otros bazar;;
ME-1429;Dátiles Medjoul con hueso Hacendado;41;Bazar y Varios;Otros bazar;;
ME-0218;Delicias del mar de surimi Hacendado;20;Bazar y Varios;Otros bazar;;
ME-1544;Delicias elaboradas con jamón ibérico Legado Ibérico;185;Bazar y Varios;Otros bazar;;
