id,nombre_comercial,marca
115519,Limpiador multiusos básico aroma limón Don Limpio botella 1.5 L,Don Limpio
189811,Limpiador de baño Don Limpio spray 800 ml,Don Limpio
292412,Rodillo quitapelusas Scotch brite 1 unidad,Scotch brite
289192,Quitamanchas oxy blanco puro Neutrex botella 950 ml,Neutrex
296947,Toallitas húmedas Planeta Bebé de Dia bolsa 80 unidades,Planeta Bebé de Dia
296949,Toallitas para bebés con piel atópica Planeta Bebé de Dia bolsa 64 unidades,Planeta Bebé de Dia
301822,Toallitas para cara y manos Planeta Bebé de Dia bolsa 20 unidades,Planeta Bebé de Dia
296946,Toallitas para bebés cremosas Planeta Bebé de Dia bolsa 48 unidades,Planeta Bebé de Dia
301870,Alimento para perros con pollo y buey Deliperro de Dia bolsa 3 Kg,Deliperro de Dia
301052,Alimento para gatos con pollo y buey Deligato de Dia bolsa 1.5 Kg,Deligato de Dia
301873,Alimento para perros senior light con pollo Deliperro de Dia bolsa 3 Kg,Deliperro de Dia
301809,Alimento para perros con pollo y buey Deliperro de Dia bolsa 10 Kg,Deliperro de Dia
301872,Alimento para perros mini Deliperro de Dia bolsa 800 g,Deliperro de Dia
303525,Alimento para perro adulto de pollo premium Deliperro de Dia bolsa 1.5 Kg,Deliperro de Dia
220419,Alimento para gatos esterilizados anti bolas de pelo con pavo Ultima bolsa 1.5 Kg,Ultima
301054,Alimento para gatos junior con pollo Deligato de Dia bolsa 1.5 Kg,Deligato de Dia
160680,Alimento para perros mini con buey Purina one bolsa 800 g,Purina one
303523,Alimento para perro junior de pollo supreme Deliperro de Dia bolsa 1.5 Kg,Deliperro de Dia
269099,Alimento para gatos esterilizados y tracto urinario con pollo Ultima bolsa 1.5 Kg,Ultima
152244,Alimento para gatos junior Purina one bolsa 450 g,Purina one
183315,Alimento para gatos senior esterilizados Ultima bolsa 800 g,Ultima
252878,Alimento para perros mini adulto con buey Ultima bolsa 1.25 Kg,Ultima
275227,Alimento para gatos esterilizados con pollo Ultima bolsa 1.5 Kg,Ultima
303524,Alimento para perros senior de pollo Deliperro de Dia bolsa 1.5 Kg,Deliperro de Dia
244946,Alimento para gatos esterilizados con buey Ultima bolsa 800 g,Ultima
