id_producto;nombre;precio;categoria_actual;subcategoria_actual;categoria_nueva;subcategoria_nueva
ME-4209;Limpiador de Ollas y Cacerolas Bosque Verde;190;Bazar y Varios;Otros bazar;HOGAR;LIMPIEZA
ME-4310;Limpiador de Tuberías Bosque Verde;380;Bazar y Varios;Otros bazar;HOGAR;LIMPIEZA
ME-4255;Limpiador Ducha Bosque Verde;210;Bazar y Varios;Otros bazar;HOGAR;LIMPIEZA
ME-4311;Limpiador fosas sépticas Bosque Verde bolsitas solubles;625;Bazar y Varios;Otros bazar;HOGAR;LIMPIEZA
ME-4236;Limpiador Placas de Inducción Bosque Verde líquido;175;Bazar y Varios;Otros bazar;HOGAR;LIMPIEZA
ME-4235;Limpiador Vitrocerámicas Bosque Verde 3 en 1;170;Bazar y Varios;Otros bazar;HOGAR;LIMPIEZA
ME-4247;Limpiador WC Aqua Bosque Verde en gel antical;115;Bazar y Varios;Otros bazar;HOGAR;LIMPIEZA
ME-4244;Limpiador WC con lejía Bosque Verde en gel;95;Bazar y Varios;Otros bazar;HOGAR;LIMPIEZA
ME-4250;Limpiador WC Flor de Cerezo Bosque Verde en gel;115;Bazar y Varios;Otros bazar;HOGAR;LIMPIEZA
ME-4256;Limpiador WC Polvo Activo Bosque Verde;180;Bazar y Varios;Otros bazar;HOGAR;LIMPIEZA
ME-4252;Toallitas limpiadoras de baños Bosque Verde;130;Bebes;Toallitas y algodón;HOGAR;LIMPIEZA
ME-4320;Toallitas limpiadoras de Cristales y Espejos Bosque Verde;140;Bebes;Toallitas y algodón;HOGAR;LIMPIEZA
ME-4263;Toallitas limpiadoras de Muebles Bosque Verde;150;Bebes;Toallitas y algodón;HOGAR;LIMPIEZA
ME-4285;Toallitas limpiadoras de suelo Bosque Verde;160;Bebes;Toallitas y algodón;HOGAR;LIMPIEZA
ME-4233;Toallitas limpiadoras desengrasantes de Cocina Bosque Verde;130;Bebes;Toallitas y algodón;HOGAR;LIMPIEZA
ME-4264;Limpiador de Muebles Classic Pronto;290;Bebidas;Licores y destilados;HOGAR;LIMPIEZA
ME-4298;Lejía Perfumada con detergente Bosque Verde;115;Desayuno y Snack;Té e infusiones;HOGAR;LIMPIEZA
ME-4300;Lejía Perfumada con detergente limón Bosque Verde;115;Desayuno y Snack;Té e infusiones;HOGAR;LIMPIEZA
ME-4251;Limpiador Baños desinfectante Bosque Verde;155;Desayuno y Snack;Té e infusiones;HOGAR;LIMPIEZA
ME-4240;Limpiador desincrustante y chimeneas Bosque Verde;355;Desayuno y Snack;Té e infusiones;HOGAR;LIMPIEZA
ME-4254;Limpiador Potente Bosque Verde cal y suciedad;170;Desayuno y Snack;Té e infusiones;HOGAR;LIMPIEZA
ME-4253;Limpiador WC Desincrustante Bosque Verde en gel;165;Desayuno y Snack;Té e infusiones;HOGAR;LIMPIEZA
ME-4454;Bol biodegradable Bosque Verde;200;Bazar y Varios;Otros bazar;HOGAR;UTENSILIOS Y CONSUMIBLES DE LIMPIEZA
ME-4443;Bolsa de rafia;65;Bazar y Varios;Otros bazar;HOGAR;UTENSILIOS Y CONSUMIBLES DE LIMPIEZA
ME-4442;Bolsa isotérmica;190;Bazar y Varios;Otros bazar;HOGAR;UTENSILIOS Y CONSUMIBLES DE LIMPIEZA
ME-4440;Bolsas congelación grandes Bosque Verde;130;Bazar y Varios;Otros bazar;HOGAR;UTENSILIOS Y CONSUMIBLES DE LIMPIEZA
ME-4438;Bolsas congelación medianas Bosque Verde;85;Bazar y Varios;Otros bazar;HOGAR;UTENSILIOS Y CONSUMIBLES DE LIMPIEZA
ME-4364;Bolsas de basura compostables Bosque Verde 10L cubo pequeño;230;Bazar y Varios;Otros bazar;HOGAR;UTENSILIOS Y CONSUMIBLES DE LIMPIEZA
ME-4367;Bolsas de basura cubo alto Bosque Verde 30L cubo mediano;275;Bazar y Varios;Otros bazar;HOGAR;UTENSILIOS Y CONSUMIBLES DE LIMPIEZA
ME-4363;Bolsas de basura envases Bosque Verde 30L cubo mediano;220;Bazar y Varios;Otros bazar;HOGAR;UTENSILIOS Y CONSUMIBLES DE LIMPIEZA
ME-4359;Bolsas de basura extra perfumadas Bosque Verde 30L cubo mediano;215;Bazar y Varios;Otros bazar;HOGAR;UTENSILIOS Y CONSUMIBLES DE LIMPIEZA
ME-4360;Bolsas de basura grande perfumadas Bosque Verde 50L cubo grande;210;Bazar y Varios;Otros bazar;HOGAR;UTENSILIOS Y CONSUMIBLES DE LIMPIEZA
ME-4362;Bolsas de basura jardín Bosque Verde 100L cubo industrial;265;Bazar y Varios;Otros bazar;HOGAR;UTENSILIOS Y CONSUMIBLES DE LIMPIEZA
ME-4365;Bolsas de basura mini Bosque Verde 5L cubo pequeño;130;Bazar y Varios;Otros bazar;HOGAR;UTENSILIOS Y CONSUMIBLES DE LIMPIEZA
ME-4361;Bolsas de basura mini perfumadas Bosque Verde 10L cubo pequeño;135;Bazar y Varios;Otros bazar;HOGAR;UTENSILIOS Y CONSUMIBLES DE LIMPIEZA
ME-4358;Bolsas de basura perfumadas Bosque Verde 30L cubo mediano;165;Bazar y Varios;Otros bazar;HOGAR;UTENSILIOS Y CONSUMIBLES DE LIMPIEZA
ME-4366;Bolsas de basura saco Bosque Verde 100L cubo industrial;200;Bazar y Varios;Otros bazar;HOGAR;UTENSILIOS Y CONSUMIBLES DE LIMPIEZA
ME-4121;Bolsas para residuos caninos Nuske Doggy bags;130;Bazar y Varios;Otros bazar;HOGAR;UTENSILIOS Y CONSUMIBLES DE LIMPIEZA
ME-4444;Bolsas reutilizables Bosque Verde;120;Bazar y Varios;Otros bazar;HOGAR;UTENSILIOS Y CONSUMIBLES DE LIMPIEZA
ME-4441;Bolsas zip congelación grandes Bosque Verde;130;Bazar y Varios;Otros bazar;HOGAR;UTENSILIOS Y CONSUMIBLES DE LIMPIEZA
ME-4439;Bolsas zip congelación medianas Bosque Verde;120;Bazar y Varios;Otros bazar;HOGAR;UTENSILIOS Y CONSUMIBLES DE LIMPIEZA
ME-4393;Bolsitas antipolillas Lavanda Bosque Verde;155;Bazar y Varios;Otros bazar;HOGAR;UTENSILIOS Y CONSUMIBLES DE LIMPIEZA
ME-4331;Borrador mágico Bosque Verde;145;Bazar y Varios;Otros bazar;HOGAR;UTENSILIOS Y CONSUMIBLES DE LIMPIEZA
ME-0755;Bífidus cremoso probiótico con coco Hacendado;130;Bazar y Varios;Otros bazar;LÁCTEOS Y HUEVOS;"LECHE Y BEBIDAS ""LÁCTEAS"""
ME-0753;Bífidus probióticos con ciruelas pasas Hacendado;130;Bazar y Varios;Otros bazar;LÁCTEOS Y HUEVOS;"LECHE Y BEBIDAS ""LÁCTEAS"""
ME-0759;Bífidus probióticos natural Hacendado;120;Bazar y Varios;Otros bazar;LÁCTEOS Y HUEVOS;"LECHE Y BEBIDAS ""LÁCTEAS"""
ME-2247;Burrata fresca Hacendado;230;Bazar y Varios;Otros bazar;LÁCTEOS Y HUEVOS;QUESOS
ME-2567;Queso rallado mozzarella pizza-Roma de vaca Hacendado;165;Lácteos y Huevos;Quesos;LÁCTEOS Y HUEVOS;QUESOS
ME-0990;Berlina al cacao;155;Bazar y Varios;Otros bazar;PANEDERÍA, BOLLERÍA Y PASTELERÍA;BOLLOS
ME-1005;Berlina con cobertura de cacao crunch rellena de crema de cacao;125;Bazar y Varios;Otros bazar;PANEDERÍA, BOLLERÍA Y PASTELERÍA;BOLLOS
ME-0989;Berlina glacé;135;Bazar y Varios;Otros bazar;PANEDERÍA, BOLLERÍA Y PASTELERÍA;BOLLOS
ME-1167;Bocaditos bañados al cacao Hacendado;230;Bazar y Varios;Otros bazar;PANEDERÍA, BOLLERÍA Y PASTELERÍA;BOLLOS
ME-3644;Bombones delicias de avellana Delizze Hacendado;420;Bazar y Varios;Otros bazar;PANEDERÍA, BOLLERÍA Y PASTELERÍA;BOLLOS
ME-1186;Caña de hojaldre rellena de crema sabor vainilla Hacendado con cobertura de cacao;170;Bazar y Varios;Otros bazar;PANEDERÍA, BOLLERÍA Y PASTELERÍA;BOLLOS
ME-1004;8 Croissants surtidos rellenos de crema de cacao y crema con leche sabor a chocolate blanco;255;Desayuno y Snack;Bollos;PANEDERÍA, BOLLERÍA Y PASTELERÍA;BOLLOS
ME-2706;Barquillos con crema de avellanas Hacendado;160;Desayuno y Snack;Cremas;PANEDERÍA, BOLLERÍA Y PASTELERÍA;BOLLOS
ME-2698;Barquillos rellenos con crema de cacao Hacendado;100;Desayuno y Snack;Cremas;PANEDERÍA, BOLLERÍA Y PASTELERÍA;BOLLOS
ME-3363;Cabello de Ángel Hida;260;Bazar y Varios;Otros bazar;PANEDERÍA, BOLLERÍA Y PASTELERÍA;OTROS
ME-3941;Brioche Listo para Comer;300;Bazar y Varios;Otros bazar;PANEDERÍA, BOLLERÍA Y PASTELERÍA;PAN FRESCO
ME-0211;Berberecho vivo;610;Bazar y Varios;Otros bazar;PESCADERÍA;MARISCO
ME-0257;Boquerón limpio sin cabeza;159;Bazar y Varios;Otros bazar;PESCADERÍA;PESCADO
ME-0258;Boquerón limpio sin espina;580;Bazar y Varios;Otros bazar;PESCADERÍA;PESCADO
ME-0256;Boquerón sin limpiar;159;Bazar y Varios;Otros bazar;PESCADERÍA;PESCADO
ME-0171;Filete de salmón;840;Despensa;Sales;PESCADERÍA;PESCADO
ME-1668;Pizza Pepperoni barbacoa Hacendado ultracongelada;350;Bebidas;Licores y destilados;PIZZAS Y PLATOS PREPARADOS;PIZZA
ME-1654;Pizza pepperoni Hacendado;290;Bebidas;Licores y destilados;PIZZAS Y PLATOS PREPARADOS;PIZZA
ME-1677;Pizza Kebab con pollo asado Hacendado ultracongelada;290;Carnicería y Charcutería;Pollo;PIZZAS Y PLATOS PREPARADOS;PIZZA
ME-1657;Pizza pollo Hacendado;290;Carnicería y Charcutería;Pollo;PIZZAS Y PLATOS PREPARADOS;PIZZA
ME-1661;Pizza pollo y bacón Hacendado;290;Carnicería y Charcutería;Pollo;PIZZAS Y PLATOS PREPARADOS;PIZZA
ME-1682;Masa fresca pizza de cereales y semillas Hacendado;250;Desayuno y Snack;Cereales para desayuno;PIZZAS Y PLATOS PREPARADOS;PIZZA
ME-1658;Pizza romana Hacendado con champiñones salteados;290;Frutas y Verduras;Setas;PIZZAS Y PLATOS PREPARADOS;PIZZA
ME-1675;Mini pizzas jamón y queso Fiesta ultracongeladas;290;Lácteos y Huevos;Quesos;PIZZAS Y PLATOS PREPARADOS;PIZZA
ME-0859;Panes especiales sabor pizza con queso Hacendado;85;Lácteos y Huevos;Quesos;PIZZAS Y PLATOS PREPARADOS;PIZZA
ME-1649;Pizza 4 quesos familiar Hacendado;340;Lácteos y Huevos;Quesos;PIZZAS Y PLATOS PREPARADOS;PIZZA
ME-1648;Pizza 4 quesos Hacendado;290;Lácteos y Huevos;Quesos;PIZZAS Y PLATOS PREPARADOS;PIZZA
ME-1673;Pizza 4 quesos sin gluten y sin lactosa Hacendado ultracongelada;310;Lácteos y Huevos;Quesos;PIZZAS Y PLATOS PREPARADOS;PIZZA
ME-1662;Pizza Calzone con jamón cocido y queso Hacendado;350;Lácteos y Huevos;Quesos;PIZZAS Y PLATOS PREPARADOS;PIZZA
ME-1664;Pizza Formaggi Hacendado 4 quesos;390;Lácteos y Huevos;Quesos;PIZZAS Y PLATOS PREPARADOS;PIZZA
ME-1643;Pizza jamón y queso familiar Hacendado;340;Lácteos y Huevos;Quesos;PIZZAS Y PLATOS PREPARADOS;PIZZA
ME-1642;Pizza jamón y queso Hacendado;250;Lácteos y Huevos;Quesos;PIZZAS Y PLATOS PREPARADOS;PIZZA
ME-1660;Pizza jamón y queso sin gluten y sin lactosa Hacendado;320;Lácteos y Huevos;Quesos;PIZZAS Y PLATOS PREPARADOS;PIZZA
ME-1669;Pizza masa fina 4 quesos Hacendado ultracongelada;250;Lácteos y Huevos;Quesos;PIZZAS Y PLATOS PREPARADOS;PIZZA
ME-1663;Pizza Prosciutto Hacendado jamón y queso;390;Lácteos y Huevos;Quesos;PIZZAS Y PLATOS PREPARADOS;PIZZA
ME-1676;Pizza Truffata con queso, champiñones y trufa Hacendado ultracongelada;290;Lácteos y Huevos;Quesos;PIZZAS Y PLATOS PREPARADOS;PIZZA
ME-1667;Pizzas tomate y queso Hacendado ultracongeladas;240;Lácteos y Huevos;Quesos;PIZZAS Y PLATOS PREPARADOS;PIZZA
ME-1382;Almendra frita y salada Hacendado pelada;315;Desayuno y Snack;Frutos secos embasados;;
ME-1702;Almendra laminada Hacendado;215;Desayuno y Snack;Frutos secos embasados;;
ME-1697;Almendra molida Hacendado;215;Desayuno y Snack;Frutos secos embasados;;
ME-1369;Almendra natural Hacendado;250;Desayuno y Snack;Frutos secos embasados;;
ME-1396;Almendra natural Hacendado sin piel;290;Desayuno y Snack;Frutos secos embasados;;
