id,id_producto,nombre,precio,categoria_id,categoria,subcategoria,imagen,url,actualizado
7174,ME-0081,Lechuga corazón romana,1.10€,null,Frutas y Verduras,Verduras,https://prod-mercadona.imgix.net/images/ecea548419831d3cfa93562fbe38f8f6.jpg?fit=crop&h=300&w=300,https://tienda.mercadona.es/product/69122/lechuga-corazon-romana-paquete,2026-03-09 20:22:03.238437
7124,ME-0082,Endibias,2.00€,null,Frutas y Verduras,Verduras,https://prod-mercadona.imgix.net/images/76fc3f03f8e58cf726c8812de3321869.jpg?fit=crop&h=300&w=300,https://tienda.mercadona.es/product/69591/endibias-bandeja,2026-03-09 20:22:03.238437
7133,ME-0083,Ensalada mezcla brotes tiernos maxi lavada,1.65€,null,Frutas y Verduras,Verduras,https://prod-mercadona.imgix.net/images/11ebbe4d020f773396a255d3ba44b2e0.jpg?fit=crop&h=300&w=300,https://tienda.mercadona.es/product/69810/ensalada-mezcla-brotes-tiernos-maxi-compuesto-batavia-roja-verde-lollo-rojo-espinacas-rucula-paquete,2026-03-09 20:22:03.238437
7136,ME-0084,Ensalada mezcla gourmet maxi lavada,1.75€,null,Frutas y Verduras,Verduras,https://prod-mercadona.imgix.net/images/0929ebf10d8559d3c6dd22334c32c263.jpg?fit=crop&h=300&w=300,https://tienda.mercadona.es/product/69741/ensalada-mezcla-gourmet-maxi-compuesta-escarola-rizada-canonigos-achicoria-paquete,2026-03-09 20:22:03.238437
7277,ME-0085,Rúcula lavada,0.85€,null,Frutas y Verduras,Verduras,https://prod-mercadona.imgix.net/images/83a2c7a099eeace37c9fd9081cfc8e76.jpg?fit=crop&h=300&w=300,https://tienda.mercadona.es/product/69753/rucula-paquete,2026-03-09 20:22:03.238437
7108,ME-0086,Cogollos corazón de lechuga,2.00€,null,Frutas y Verduras,Verduras,https://prod-mercadona.imgix.net/images/32724f0afddc5a4c7a25227c253b4227.jpg?fit=crop&h=300&w=300,https://tienda.mercadona.es/product/69582/cogollos-corazon-lechuga-paquete,2026-03-09 20:22:03.238437
7134,ME-0087,Ensalada mezcla dúo canónigos y rúcula lavada,1.45€,null,Frutas y Verduras,Verduras,https://prod-mercadona.imgix.net/images/e9c3ec4c50c66754bbe94ab1ddaee683.jpg?fit=crop&h=300&w=300,https://tienda.mercadona.es/product/69697/ensalada-mezcla-duo-canonigos-rucula-paquete,2026-03-09 20:22:03.238437
7175,ME-0088,Lechuga hoja roble,1.60€,null,Frutas y Verduras,Verduras,https://prod-mercadona.imgix.net/images/e6c61271d21736c09049e28c7a5d0c1b.jpg?fit=crop&h=300&w=300,https://tienda.mercadona.es/product/69114/lechuga-hoja-roble-paquete,2026-03-09 20:22:03.238437
7138,ME-0089,Escarola rizada cortada y lavada,1.25€,null,Frutas y Verduras,Verduras,https://prod-mercadona.imgix.net/images/1d36f182ba3c84584ce170e6a85b7363.jpg?fit=crop&h=300&w=300,https://tienda.mercadona.es/product/69720/escarola-rizada-paquete,2026-03-09 20:22:03.238437
7137,ME-0090,Escarola rizada,1.90€,null,Frutas y Verduras,Verduras,https://prod-mercadona.imgix.net/images/0519eae2b26f56f98a5e95a6c2a6f669.jpg?fit=crop&h=300&w=300,https://tienda.mercadona.es/product/68233/escarola-rizada-paquete,2026-03-09 20:22:03.238437
7150,ME-0091,Espinacas baby lavadas,1.15€,null,Frutas y Verduras,Verduras,https://prod-mercadona.imgix.net/images/a91f13d218a7badd0b10b7b0e3088f20.jpg?fit=crop&h=300&w=300,https://tienda.mercadona.es/product/69984/espinaca-baby-paquete,2026-03-09 20:22:03.238437
7178,ME-0092,Lechuga romana cortada y lavada,1.15€,null,Frutas y Verduras,Verduras,https://prod-mercadona.imgix.net/images/de27c05991934ccea736560b54d21694.jpg?fit=crop&h=300&w=300,https://tienda.mercadona.es/product/69435/lechuga-romana-cortada-paquete,2026-03-09 20:22:03.238437
7172,ME-0093,Kiwi verde,0.39€,null,Frutas y Verduras,Fruta,https://prod-mercadona.imgix.net/images/49e3e74a455daf4169248dfb52ae9a6d.jpg?fit=crop&h=300&w=300,https://tienda.mercadona.es/product/3820/kiwi-verde-pieza,2026-03-09 20:22:03.238437
7173,ME-0094,Kiwis verdes,3.47€,null,Frutas y Verduras,Fruta,https://prod-mercadona.imgix.net/images/e887a535440a80f19a036df7d70f124a.jpg?fit=crop&h=300&w=300,https://tienda.mercadona.es/product/3832/kiwis-verdes-bandeja,2026-03-09 20:22:03.238437
7057,ME-0095,Aguacate,1.18€,null,Frutas y Verduras,Fruta,https://prod-mercadona.imgix.net/images/b1dee7e254871996d81c69a656fa4304.jpg?fit=crop&h=300&w=300,https://tienda.mercadona.es/product/3830/aguacate-pieza,2026-03-09 20:21:32.851756
7058,ME-0096,Aguacates,3.87€,null,Frutas y Verduras,Fruta,https://prod-mercadona.imgix.net/images/3626a39afce23381b73d55fb7a4a3c7d.jpg?fit=crop&h=300&w=300,https://tienda.mercadona.es/product/3858/aguacates-bandeja,2026-03-09 20:21:32.851756
7259,ME-0097,Piña,4.44€,null,Frutas y Verduras,Fruta,https://prod-mercadona.imgix.net/images/9dd42248e51d82317d3e48eaa166d56e.jpg?fit=crop&h=300&w=300,https://tienda.mercadona.es/product/3076/pina-pieza,2026-03-09 20:22:03.238437
7200,ME-0098,Media piña,2.25€,null,Frutas y Verduras,Fruta,https://prod-mercadona.imgix.net/images/2cc079fbeca1eb8ac12638a7e7f13971.jpg?fit=crop&h=300&w=300,https://tienda.mercadona.es/product/30506/media-pina-12-pieza,2026-03-09 20:22:03.238437
7262,ME-0099,Piña natural a rodajas,3.80€,null,Frutas y Verduras,Fruta,https://prod-mercadona.imgix.net/images/447329070430fee9d487dd3124975cb8.jpg?fit=crop&h=300&w=300,https://tienda.mercadona.es/product/3024/pina-natural-rodajas-bote,2026-03-09 20:22:03.238437
8392,ME-0100,Guacamole Hacendado,3.95€,null,Platos preparados,Ensaladas listas,https://prod-mercadona.imgix.net/images/5c3a7d00a6c79339f48bae00593089ed.jpg?fit=crop&h=300&w=300,https://tienda.mercadona.es/product/3840/guacamole-hacendado-95-aguacate-fresco-tarrina,2026-03-09 20:23:00.537743
