id,id_api,nombre_comercial,precio,precio_unidad,marca,url,imagen,disponible
DI-3099,300005,Queso Mahón semicurado Quesería del Mundo 220 g,3.49,15.86€/kg,,https://www.dia.es/charcuteria-y-quesos/queso-curado-semi-y-tierno/p/300005,https://www.dia.es/product_images/300005/300005_ISO_0_ES.jpg,True
DI-3612,305911,Queso brie con trufa Quesería del Mundo 180 g,3.99,22.17€/kg,,https://www.dia.es/charcuteria-y-quesos/quesos-internacionales/p/305911,https://www.dia.es/product_images/305911/305911_ISO_0_ES.jpg,True
DI-2728,292092,Queso de oveja curado Dia El Cencerro 200 g,3.99,19.95€/kg,Dia El Cencerro,https://www.dia.es/charcuteria-y-quesos/queso-curado-semi-y-tierno/p/292092,https://www.dia.es/product_images/292092/292092_ISO_0_ES.jpg,True
DI-3084,299580,Queso Munster Quesería del Mundo 125 g,2.75,22.00€/kg,,https://www.dia.es/charcuteria-y-quesos/quesos-internacionales/p/299580,https://www.dia.es/product_images/299580/299580_ISO_0_ES.jpg,True
DI-3088,299589,Queso mascarpone gorgonzola Quesería del Mundo 180 g,2.99,16.61€/kg,,https://www.dia.es/charcuteria-y-quesos/quesos-internacionales/p/299589,https://www.dia.es/product_images/299589/299589_ISO_0_ES.jpg,True
DI-3060,299087,Queso Tetilla D.O.P. Dia El Cencerro 550 g,5.75,10.45€/kg,Dia El Cencerro,https://www.dia.es/charcuteria-y-quesos/queso-curado-semi-y-tierno/p/299087,https://www.dia.es/product_images/299087/299087_ISO_0_ES.jpg,True
DI-3281,302652,Queso de oveja añejo y picante Osado Dia El Cencerro 200 g,3.89,19.45€/kg,Dia El Cencerro,https://www.dia.es/charcuteria-y-quesos/queso-curado-semi-y-tierno/p/302652,https://www.dia.es/product_images/302652/302652_ISO_0_ES.jpg,True
DI-3095,299879,Queso de cabra roquefort Quesería del Mundo 150 g,3.25,21.67€/kg,,https://www.dia.es/charcuteria-y-quesos/queso-azul-roquefort-y-cabra/p/299879,https://www.dia.es/product_images/299879/299879_ISO_0_ES.jpg,True
DI-3753,307162,Queso de oveja tierno ahumado Quesería del Mundo 175 g,3.99,22.80€/kg,,https://www.dia.es/charcuteria-y-quesos/queso-curado-semi-y-tierno/p/307162,https://www.dia.es/product_images/307162/307162_ISO_0_ES.jpg,True
DI-4411,5350,Queso de untar con finas hierbas Philadelphia 150 g,2.49,16.60€/kg,Philadelphia,https://www.dia.es/charcuteria-y-quesos/quesos-untables-y-fundidos/p/5350,https://www.dia.es/product_images/5350/5350_ISO_0_ES.jpg,True
DI-3085,299583,Queso gouda con comino Quesería del Mundo 200 g,2.89,14.45€/kg,,https://www.dia.es/charcuteria-y-quesos/quesos-internacionales/p/299583,https://www.dia.es/product_images/299583/299583_ISO_0_ES.jpg,True
DI-3432,303984,Queso mezcla Evolución Dia El Cencerro 200 g,2.98,14.90€/kg,Dia El Cencerro,https://www.dia.es/charcuteria-y-quesos/queso-curado-semi-y-tierno/p/303984,https://www.dia.es/product_images/303984/303984_ISO_0_ES.jpg,True
DI-3752,307161,Queso de cabra curado Hollandse Geitenkaas I.G.P. Quesería del Mundo 175 g,3.49,19.94€/kg,,https://www.dia.es/charcuteria-y-quesos/queso-azul-roquefort-y-cabra/p/307161,https://www.dia.es/product_images/307161/307161_ISO_0_ES.jpg,True
DI-2735,292414,Queso fresco protein plus Burgo de Arias tarrina 3 x 70 g,2.49,11.86€/kg,Burgo de Arias,https://www.dia.es/charcuteria-y-quesos/quesos-altos-en-proteinas/p/292414,https://www.dia.es/product_images/292414/292414_ISO_0_ES.jpg,True
DI-3751,307147,Queso de untar natural sin lactosa Arla 200 g,2.15,10.75€/kg,Arla,https://www.dia.es/charcuteria-y-quesos/quesos-untables-y-fundidos/p/307147,https://www.dia.es/product_images/307147/307147_ISO_0_ES.jpg,True
DI-3728,306964,Queso en dados para ensaladas García Baquero 2 x 50 g,1.99,19.90€/kg,García Baquero,https://www.dia.es/charcuteria-y-quesos/queso-fresco/p/306964,https://www.dia.es/product_images/306964/306964_ISO_0_ES.jpg,True
DI-5036,300069,Queso semicurado García Baquero 160 g,2.99,18.69€/kg,García Baquero,https://www.dia.es/charcuteria-y-quesos/queso-curado-semi-y-tierno/p/300069,https://www.dia.es/product_images/300069/300069_ISO_0_ES.jpg,True
DI-4484,57737,Queso fresco 0% M.G. Burgo de Arias 3 x 72 g,3.16,14.63€/kg,Burgo de Arias,https://www.dia.es/charcuteria-y-quesos/queso-fresco/p/57737,https://www.dia.es/product_images/57737/57737_ISO_0_ES.jpg,True
DI-3436,304006,Queso mezcla tostado mezcla García Baquero 200 g,3.99,19.95€/kg,García Baquero,https://www.dia.es/charcuteria-y-quesos/queso-curado-semi-y-tierno/p/304006,https://www.dia.es/product_images/304006/304006_ISO_0_ES.jpg,True
