id_api,nombre_comercial,precio,precio_unidad,marca,url,categoria_ahorramas
,Pasta fresca tortellini relleno de ricota Alipende 250g,1.9,"(7,60€/KILO)",,https://www.ahorramas.com/pasta-fresca-tortellini-relleno-de-ricota-alipende-250g-47728.html,alimentacion
,Atún Ribeira pack 6 en aceite girasol,3.59,"(11,51€/KG.PESO ESC)",,https://www.ahorramas.com/atun-ribeira-pack-6-en-aceite-girasol-9541.html,alimentacion
,Galletas de chocolate sin azúcar añadido zero Gullón 125g,2.69,"(21,52€/KILO)",,https://www.ahorramas.com/galletas-de-chocolate-sin-azucar-anadido-zero-gullon-125g-60226.html,alimentacion
,Mayonesa bocabajo Heinz 400ml,2.69,"(6,72€/LITRO)|(7,48€/LITRO)",,https://www.ahorramas.com/mayonesa-bocabajo-heinz-400ml-73782.html,alimentacion
,Aceituna con aliño casero Carbonell 450g,3.49,"(7,76€/KG.PESO ESC)|(11,09€/KG.PESO ESC)",,https://www.ahorramas.com/aceituna-con-alino-casero-carbonell-450g-45006.html,alimentacion
,"Aceite de oliva Spray Carbonell 200ml 0,4º",2.39,"(11,95€/LITRO)|(14,95€/LITRO)",,https://www.ahorramas.com/aceite-de-oliva-spray-carbonell-200ml-04-501.html,alimentacion
,Cacao Colacao 383g,4.39,"(11,46€/KILO)|(13,03€/KILO)",,https://www.ahorramas.com/cacao-colacao-383g-60035.html,alimentacion
,Caldo en pastillas Avecrem 24u pollo,2.95,"(12,29€/KILO)",,https://www.ahorramas.com/caldo-en-pastillas-avecrem-24u-pollo-29261.html,alimentacion
,Pan de trigo sarraceno 334g,2.5,"(7,49€/KILO)",,https://www.ahorramas.com/pan-de-trigo-sarraceno-334g-49123.html,alimentacion
,Café molido Alipende 250g mezcla 50/50,2.65,"(10,60€/KILO)|(10,80€/KILO)",,https://www.ahorramas.com/cafe-molido-alipende-250g-mezcla-50-50-48072.html,alimentacion
,Caldo casero Gallina Blanca 1l verduras 100% natural,2.2,"(2,20€/LITRO)",,https://www.ahorramas.com/caldo-casero-gallina-blanca-1l-verduras-100-natural-3496.html,alimentacion
,Arroz de Valencia Dacsa 1kg,2.07,"(2,07€/KILO)",,https://www.ahorramas.com/arroz-de-valencia-dacsa-1kg-46205.html,alimentacion
